Iteration,All with BEV100,LFLM with BEV100,All with BEV250
227,40.46,62.11,83.84
228,41.53,64.12,84.65
229,50.13,80.24,91.10
230,32.63,67.63,76.84
231,37.65,56.85,81.74
232,55.67,90.62,95.25
233,39.44,60.19,83.08
234,35.71,70.71,78.99
235,51.94,83.64,92.46
236,29.02,64.02,74.31
237,35.61,70.61,78.93
238,18.14,53.14,66.69
239,47.11,74.59,88.84
240,54.98,89.34,94.73
241,43.36,67.54,86.02
242,40.34,75.34,82.24
243,32.23,67.23,76.56
244,35.54,52.89,80.15
245,42.20,65.37,85.15
246,49.48,79.02,90.61
247,52.78,85.21,93.08
248,41.37,63.81,84.52
249,52.63,84.93,92.97
250,40.20,75.20,82.14
251,31.36,66.36,75.95
252,34.07,69.07,77.85
253,46.51,73.46,88.39
254,27.52,62.52,73.27
255,39.72,60.73,83.29
256,40.88,62.90,84.16
257,60.38,99.47,81.88
258,44.12,68.98,86.59
259,52.09,83.92,92.57
260,25.75,60.75,72.02
261,39.51,74.51,81.66
262,59.30,97.43,97.97
263,52.48,84.66,92.86
264,38.57,73.57,81.00
265,47.20,82.20,87.04
266,45.56,71.68,87.67
267,38.13,57.74,82.10
268,18.11,53.11,66.68
269,26.69,61.69,72.68
270,55.55,90.40,95.16
271,61.84,70.85,81.88
272,43.34,67.51,86.00
273,58.58,96.09,97.43
274,63.12,70.85,81.88
275,35.79,53.36,80.35
276,52.16,84.04,92.62
277,44.90,70.44,87.17
278,48.52,77.22,89.89
279,48.97,78.08,90.23
280,39.20,74.20,81.44
281,44.46,69.62,86.85
282,25.92,60.92,72.15
283,43.24,78.24,84.27
284,39.18,59.71,82.88
285,44.45,69.60,86.84
286,55.56,90.42,95.17
287,58.03,95.05,97.02
288,31.57,45.44,77.18
289,52.31,84.34,92.74
290,55.34,90.02,95.01
291,37.68,56.90,81.76
292,54.10,87.68,94.07
293,32.44,67.44,76.71
294,48.24,76.70,89.68
295,47.78,82.78,87.45
296,31.34,66.34,75.94
297,51.55,82.91,92.16
298,58.97,96.82,97.73
299,56.59,92.36,95.95
300,26.94,61.94,72.86
301,38.94,73.94,81.26
302,52.11,83.96,92.59
303,56.92,92.97,96.19
304,67.62,70.85,81.88
305,38.30,58.06,82.23
306,45.12,80.12,85.59
307,44.31,69.34,86.74
308,35.67,70.67,78.97
309,47.51,75.34,89.14
310,58.98,96.84,97.74
311,58.58,96.10,97.44
312,56.82,92.79,96.12
313,25.46,60.46,71.82
314,23.44,58.44,70.41
315,58.15,95.28,97.11
316,54.33,88.12,94.25
317,50.94,81.76,91.70
318,61.43,70.85,81.88
319,17.06,52.06,65.94
320,34.94,69.94,78.46
321,43.08,78.08,84.16
322,44.67,70.00,87.00
323,46.32,73.09,88.24
324,11.30,46.30,61.91
325,34.82,69.82,78.37
326,34.56,69.56,78.19
327,26.47,61.47,72.53
328,31.70,66.70,76.19
329,44.23,69.18,86.67
330,36.79,71.79,79.75
331,26.73,61.73,72.71
332,57.27,93.64,96.45
333,51.90,83.57,92.43
334,43.64,78.64,84.55
335,44.12,68.98,86.59
336,62.26,70.85,81.88
337,67.47,70.85,81.88
338,53.98,87.47,93.99
339,26.48,61.48,72.53
340,24.70,59.70,71.29
341,37.40,72.40,80.18
342,37.48,56.52,81.61
343,32.46,67.46,76.72
344,57.74,94.51,96.80
345,7.35,42.35,59.15
346,48.20,76.63,89.65
347,50.50,80.94,91.38
348,60.56,99.80,81.88
349,52.88,85.40,93.16
350,48.87,83.87,88.21
351,48.11,76.46,89.58
352,55.78,90.84,95.34
353,33.80,68.80,77.66
354,71.02,70.85,81.88
355,45.78,80.78,86.05
356,41.79,64.61,84.85
357,18.26,53.26,66.78
358,48.34,76.89,89.76
359,10.81,45.81,61.57
360,55.54,90.39,95.15
361,43.85,68.47,86.39
362,57.77,94.57,96.83
363,23.64,58.64,70.55
364,45.15,70.90,87.36
