Iteration,All with BEV100,LFLM with BEV100,All with BEV250
2114,35.58,70.58,78.90
2115,57.92,94.85,96.94
2116,56.35,91.91,95.76
2117,40.92,75.92,82.64
2118,26.86,61.86,72.80
2119,44.94,70.50,87.20
2120,30.52,65.52,75.36
2121,58.54,96.00,97.40
2122,45.70,71.93,87.77
2123,53.95,88.95,91.77
2124,54.54,88.51,94.41
2125,42.49,77.49,83.74
2126,30.49,65.49,75.35
2127,44.49,69.66,86.87
2128,59.53,97.87,81.88
2129,46.42,73.30,88.32
2130,44.69,79.69,85.28
2131,54.53,88.49,94.40
2132,40.05,34.78,53.84
2133,61.15,70.85,81.88
2134,25.86,60.86,72.10
2135,51.36,82.56,92.02
2136,45.15,70.90,87.36
2137,49.27,78.63,90.45
2138,27.13,62.13,72.99
2139,20.99,55.99,68.69
2140,50.19,80.36,91.14
2141,23.32,58.32,70.32
2142,35.18,52.20,79.88
2143,56.02,91.29,95.52
2144,54.67,88.76,94.50
2145,35.17,52.19,79.88
2146,44.35,69.41,86.76
2147,42.96,77.96,84.07
2148,54.19,87.86,94.15
2149,20.61,55.61,68.43
2150,28.92,63.92,74.25
2151,50.39,80.73,91.29
2152,42.87,77.87,84.01
2153,60.27,99.25,81.88
2154,34.41,50.76,79.31
2155,60.86,70.85,81.88
2156,40.41,62.02,83.81
2157,29.50,64.50,74.65
2158,46.64,73.71,88.48
2159,52.99,85.61,93.24
2160,57.61,94.27,96.71
2161,25.76,60.76,72.03
2162,26.35,61.35,72.45
2163,62.58,70.85,81.88
2164,49.08,78.28,90.31
2165,31.45,66.45,76.02
2166,15.22,50.22,64.66
2167,39.29,74.29,81.50
2168,32.71,47.58,78.03
2169,44.09,79.09,84.87
2170,38.84,59.07,82.63
2171,53.96,87.43,93.97
2172,45.53,71.62,87.65
2173,24.57,59.57,71.20
2174,49.79,84.79,88.85
2175,47.20,74.76,88.90
2176,55.91,91.07,95.43
2177,20.24,55.24,68.17
2178,41.93,76.93,83.35
2179,34.41,69.41,78.09
2180,25.71,60.71,72.00
2181,26.22,61.22,72.36
2182,38.89,73.89,81.22
2183,19.35,54.35,67.54
2184,52.74,85.13,93.05
2185,44.19,69.11,86.64
2186,37.50,72.50,80.25
2187,53.81,87.15,93.86
2188,42.54,66.01,85.40
2189,44.22,69.16,86.67
2190,58.89,96.66,97.67
2191,44.06,68.86,86.54
2192,40.02,75.02,82.01
2193,28.06,63.06,73.65
2194,20.67,55.67,68.47
2195,33.10,68.10,77.17
2196,45.13,70.87,87.35
2197,48.28,76.78,89.71
2198,34.01,69.01,77.81
2199,30.76,65.76,75.53
2200,66.29,70.85,81.88
2201,39.17,74.17,81.42
2202,38.09,73.09,80.66
2203,43.65,68.09,86.24
2204,3.10,38.10,56.17
2205,24.33,59.33,71.03
2206,47.13,74.62,88.85
2207,48.72,77.61,90.04
2208,45.64,71.83,87.73
2209,9.65,44.65,60.75
2210,57.66,94.35,96.74
2211,21.92,56.92,69.34
2212,23.93,58.93,70.75
2213,59.44,97.69,98.08
2214,50.30,80.56,91.22
2215,40.95,63.02,84.21
2216,14.36,49.36,64.05
2217,44.12,68.97,86.59
2218,54.69,88.79,94.52
2219,29.71,64.71,74.80
2220,46.06,72.62,88.05
2221,43.70,78.70,84.59
2222,26.22,61.22,72.35
2223,22.21,57.21,69.55
2224,50.96,81.80,91.72
2225,33.08,68.08,77.16
2226,54.43,88.30,94.32
2227,29.62,64.62,74.74
2228,52.96,85.56,93.22
2229,51.70,83.19,92.28
2230,32.02,67.02,76.42
2231,37.80,72.80,80.46
2232,59.67,98.14,81.88
2233,41.31,63.70,84.48
2234,52.93,85.50,93.20
2235,43.86,68.49,86.40
2236,28.26,63.26,73.78
2237,43.75,68.28,86.31
2238,50.89,81.68,91.67
2239,52.19,84.10,92.64
2240,34.37,69.37,78.06
2241,41.63,64.31,84.73
2242,43.61,68.02,86.21
2243,44.10,68.94,86.58
2244,45.50,71.56,87.62
2245,56.35,91.91,95.77
2246,47.13,74.62,88.85
2247,45.20,70.99,87.40
2248,37.82,57.17,81.87
2249,25.17,60.17,71.62
2250,26.84,61.84,72.79
2251,57.72,94.47,96.79
2252,22.47,57.47,69.73
2253,48.35,76.90,89.76
2254,49.44,78.95,90.58
2255,49.50,79.07,90.63
2256,43.72,68.23,86.29
2257,46.48,73.40,88.36
2258,50.57,81.06,91.42
2259,49.00,78.13,90.25
2260,45.69,80.69,85.99
2261,38.11,73.11,80.68
2262,39.89,61.04,83.41
2263,44.12,68.98,86.59
2264,51.52,82.85,92.14
2265,51.13,82.13,91.85
2266,43.44,78.44,84.41
2267,53.15,85.90,93.36
2268,28.46,63.46,73.92
2269,24.18,59.18,70.92
2270,38.87,73.87,81.21
2271,7.89,42.89,59.52
2272,28.45,63.45,73.92
2273,43.61,68.02,86.21
2274,44.10,68.94,86.58
2275,52.54,84.76,92.91
2276,28.72,63.72,74.10
2277,9.76,44.76,60.83
2278,27.20,62.20,73.04
2279,57.73,94.49,96.80
2280,36.43,71.43,79.50
2281,32.94,67.94,77.06
2282,37.19,72.19,80.03
2283,31.93,66.93,76.35
2284,48.92,77.97,90.19
2285,41.57,64.18,84.67
2286,19.63,54.63,67.74
2287,32.53,67.53,76.77
2288,43.23,67.30,85.92
2289,52.75,87.75,90.92
2290,50.06,80.11,91.05
2291,46.52,73.48,88.39
2292,8.73,43.73,60.11
2293,52.98,85.59,93.24
2294,42.89,77.89,84.02
2295,36.83,55.30,81.12
2296,35.69,70.69,78.98
2297,36.67,71.67,79.67
2298,58.07,95.14,97.06
2299,65.28,70.85,81.88
2300,32.33,67.33,76.63
2301,61.10,70.85,81.88
2302,32.06,67.06,76.44
2303,45.92,72.36,87.94
2304,18.47,53.47,66.93
2305,35.27,70.27,78.69
2306,48.65,77.47,89.99
2307,44.76,70.17,87.07
2308,29.31,64.31,74.51
2309,44.33,69.37,86.75
2310,44.14,79.14,84.90
2311,44.61,69.90,86.96
2312,49.77,79.57,90.83
2313,36.23,71.23,79.36
2314,49.54,79.14,90.66
2315,58.51,95.95,97.38
2316,59.38,97.59,98.03
2317,55.07,89.51,94.80
2318,58.01,95.01,97.00
2319,40.25,61.71,83.68
2320,39.52,74.52,81.67
2321,59.93,98.62,81.88
2322,21.06,56.06,68.74
2323,22.91,57.91,70.04
2324,18.02,53.02,66.62
2325,29.30,64.30,74.51
2326,36.37,54.45,80.78
2327,47.61,75.52,89.21
2328,50.17,85.17,89.12
2329,47.30,74.93,88.97
2330,13.08,48.08,63.16
2331,59.81,98.40,81.88
2332,51.43,82.68,92.07
2333,49.42,84.42,88.60
2334,41.53,64.12,84.65
2335,58.52,95.97,97.39
2336,17.38,52.38,66.16
2337,46.96,74.30,88.72
2338,62.66,70.85,81.88
2339,53.34,86.25,93.50
2340,22.35,57.35,69.64
2341,40.90,62.94,84.18
2342,49.59,79.23,90.69
2343,62.68,70.85,81.88
2344,25.12,60.12,71.59
2345,27.28,62.28,73.10
2346,41.06,76.06,82.74
2347,30.59,65.59,75.41
2348,32.59,67.59,76.81
2349,46.31,81.31,86.42
2350,38.69,73.69,81.09
2351,42.17,77.17,83.52
2352,47.20,82.20,87.04
2353,71.36,70.85,81.88
2354,28.98,63.98,74.28
2355,31.67,66.67,76.17
2356,58.46,95.87,97.35
2357,60.11,98.95,81.88
2358,32.27,67.27,76.59
2359,45.45,71.48,87.59
2360,42.16,65.30,85.12
2361,20.53,55.53,68.37
2362,58.10,95.19,97.08
2363,52.70,85.06,93.02
2364,38.37,58.20,82.28
2365,67.84,70.85,81.88
2366,35.85,70.85,79.10
2367,50.42,80.78,91.31
2368,31.02,66.02,75.71
2369,32.07,67.07,76.45
2370,53.44,88.44,91.41
2371,24.39,59.39,71.07
2372,21.98,56.98,69.38
2373,52.85,87.85,91.00
2374,44.98,70.58,87.23
2375,45.68,71.89,87.76
2376,35.12,70.12,78.58
2377,25.53,60.53,71.87
2378,17.89,52.89,66.52
2379,37.54,56.63,81.65
2380,50.40,80.75,91.30
2381,29.01,64.01,74.31
2382,16.84,51.84,65.79
2383,49.21,78.53,90.41
2384,34.82,69.82,78.38
2385,53.73,87.00,93.80
2386,35.00,70.00,78.50
2387,42.42,77.42,83.70
2388,39.98,61.21,83.48
2389,40.09,61.41,83.56
2390,56.61,92.39,95.95
2391,51.00,81.87,91.75
2392,39.05,74.05,81.33
2393,33.83,68.83,77.68
2394,51.22,82.28,91.91
2395,61.31,70.85,81.88
2396,41.27,76.27,82.89
2397,49.52,79.09,90.64
2398,46.97,74.33,88.73
2399,51.77,83.32,92.33
2400,44.31,69.33,86.73
2401,59.97,98.69,81.88
2402,64.70,70.85,81.88
2403,31.02,66.02,75.72
2404,44.83,79.83,85.38
2405,56.97,93.07,96.23
2406,31.42,66.42,76.00
2407,47.52,75.35,89.14
2408,35.18,70.18,78.63
2409,36.92,71.92,79.84
2410,47.80,75.88,89.35
2411,28.35,63.35,73.84
2412,22.79,57.79,69.95
2413,54.78,88.96,94.58
2414,27.77,62.77,73.44
2415,52.61,84.90,92.96
2416,56.59,92.36,95.94
2417,41.78,76.78,83.25
2418,26.44,61.44,72.51
2419,39.34,74.34,81.54
2420,19.15,54.15,67.40
2421,53.06,85.73,93.29
2422,34.72,69.72,78.30
2423,13.03,48.03,63.12
2424,41.93,76.93,83.35
2425,23.12,58.12,70.19
2426,11.90,46.90,62.33
2427,42.11,65.20,85.08
2428,10.29,45.29,61.20
2429,25.88,60.88,72.12
2430,47.08,74.52,88.81
2431,24.38,59.38,71.07
2432,17.73,52.73,66.41
2433,26.66,61.66,72.66
2434,53.39,86.36,93.55
2435,44.01,68.77,86.51
2436,34.48,69.48,78.13
2437,27.55,62.55,73.28
2438,29.24,64.24,74.46
2439,41.23,76.23,82.86
2440,45.81,80.81,86.07
2441,42.50,65.94,85.38
2442,52.31,84.33,92.73
2443,30.19,65.19,75.13
2444,50.08,80.15,91.06
2445,39.30,74.30,81.51
2446,40.76,75.76,82.53
2447,54.34,88.13,94.25
2448,40.45,75.45,82.31
2449,37.09,72.09,79.96
2450,36.53,54.75,80.90
2451,20.68,55.68,68.48
2452,43.74,78.74,84.62
2453,52.55,84.77,92.91
2454,43.16,78.16,84.21
2455,47.46,75.23,89.09
2456,46.22,72.91,88.16
2457,24.61,59.61,71.23
2458,17.03,52.03,65.92
2459,48.81,77.78,90.11
2460,51.76,83.30,92.32
2461,63.01,70.85,81.88
2462,38.98,59.34,82.74
2463,38.15,73.15,80.70
2464,40.81,62.77,84.11
2465,44.35,79.35,85.04
2466,78.39,70.85,81.88
2467,42.41,65.76,85.31
2468,29.22,64.22,74.45
2469,44.73,70.12,87.05
2470,42.93,66.75,85.70
2471,29.29,64.29,74.50
2472,55.33,90.00,95.00
2473,14.55,49.55,64.18
2474,51.62,83.03,92.21
2475,31.67,66.67,76.17
2476,35.14,70.14,78.60
2477,52.94,85.51,93.20
2478,39.20,59.74,82.90
2479,44.95,70.52,87.21
2480,32.27,46.76,77.70
2481,43.75,78.75,84.63
2482,62.62,70.85,81.88
2483,45.16,80.16,85.61
2484,41.56,64.18,84.67
2485,47.90,76.06,89.43
2486,46.66,81.66,86.66
2487,44.59,69.86,86.94
2488,35.27,70.27,78.69
2489,46.09,72.67,88.07
2490,36.88,71.88,79.82
2491,56.97,93.07,96.23
2492,59.22,97.29,97.92
2493,28.50,63.50,73.95
2494,52.75,85.16,93.06
2495,44.18,69.09,86.64
2496,28.28,63.28,73.80
2497,57.36,93.80,96.52
2498,31.42,66.42,75.99
2499,53.43,86.44,93.58
2500,36.04,53.82,80.53
2501,11.95,46.95,62.36
2502,45.14,70.89,87.35
2503,25.27,60.27,71.69
2504,57.52,94.11,96.64
2505,24.03,59.03,70.82
2506,39.28,59.89,82.96
2507,16.67,51.67,65.67
2508,46.52,73.47,88.39
2509,71.72,70.85,81.88
2510,50.09,80.17,91.07
2511,70.33,70.85,81.88
2512,28.85,63.85,74.19
2513,22.80,57.80,69.96
2514,30.03,65.03,75.02
2515,40.61,62.39,83.96
2516,40.92,62.97,84.19
2517,12.91,47.91,63.04
2518,32.93,67.93,77.05
2519,57.93,94.86,96.94
2520,28.25,63.25,73.77
2521,35.06,51.99,79.80
2522,43.70,68.19,86.28
2523,50.93,81.74,91.69
2524,47.40,75.13,89.05
2525,50.54,81.02,91.41
2526,12.74,47.74,62.92
2527,44.98,70.58,87.23
2528,42.99,77.99,84.09
2529,35.26,52.37,79.95
2530,35.55,70.55,78.89
2531,52.82,85.28,93.11
2532,23.12,58.12,70.18
2533,30.83,65.83,75.58
2534,39.35,60.03,83.01
2535,56.08,91.41,95.56
2536,27.88,62.88,73.51
2537,40.71,62.58,84.03
2538,17.03,52.03,65.92
2539,4.55,39.55,57.19
2540,31.77,45.82,77.33
2541,30.23,65.23,75.16
2542,45.96,72.43,87.97
2543,24.94,59.94,71.46
2544,48.05,76.35,89.54
2545,34.86,69.86,78.40
2546,17.93,52.93,66.55
2547,46.28,73.03,88.21
2548,53.06,85.74,93.30
2549,20.07,55.07,68.05
2550,57.81,94.65,96.86
2551,36.57,71.57,79.60
2552,52.01,83.77,92.51
2553,37.46,72.46,80.22
2554,35.41,70.41,78.79
2555,21.65,56.65,69.15
2556,31.35,66.35,75.94
2557,27.16,62.16,73.01
2558,34.67,69.67,78.27
2559,47.45,75.21,89.09
2560,45.67,71.88,87.75
2561,37.20,56.00,81.40
2562,46.41,73.27,88.31
2563,31.79,66.79,76.25
2564,57.43,93.92,96.57
2565,20.26,55.26,68.18
2566,24.39,59.39,71.07
2567,17.17,52.17,66.02
2568,56.13,91.49,95.60
2569,30.71,65.71,75.50
2570,43.48,67.78,86.11
2571,59.77,98.32,81.88
2572,60.89,70.85,81.88
2573,29.10,64.10,74.37
2574,40.04,61.32,83.53
2575,23.68,58.68,70.57
2576,26.28,61.28,72.40
2577,22.67,57.67,69.87
2578,21.87,56.87,69.31
2579,35.88,70.88,79.11
2580,42.83,66.56,85.63
2581,44.70,79.70,85.29
2582,31.26,66.26,75.88
2583,49.82,79.65,90.86
2584,25.23,60.23,71.66
2585,7.57,42.57,59.30
2586,30.16,65.16,75.11
2587,41.32,76.32,82.93
2588,29.25,64.25,74.47
2589,25.56,60.56,71.89
2590,48.24,76.70,89.68
2591,54.17,87.83,94.13
2592,44.84,70.32,87.13
2593,58.82,96.53,97.61
2594,43.48,67.78,86.11
2595,14.81,49.81,64.37
2596,16.64,51.64,65.65
2597,51.03,81.94,91.77
2598,47.43,75.18,89.07
2599,41.27,76.27,82.89
2600,29.89,64.89,74.92
2601,39.40,74.40,81.58
2602,53.80,87.13,93.85
2603,30.87,65.87,75.61
2604,30.33,65.33,75.23
2605,45.45,71.47,87.59
2606,5.95,40.95,58.17
2607,44.07,68.88,86.55
2608,25.97,60.97,72.18
2609,12.54,47.54,62.78
2610,38.51,58.46,82.38
2611,28.60,63.60,74.02
2612,25.42,60.42,71.79
2613,47.91,76.08,89.43
2614,43.13,67.13,85.85
2615,40.61,62.40,83.96
2616,51.39,82.60,92.04
2617,46.45,73.34,88.34
2618,50.15,80.29,91.11
2619,27.53,62.53,73.27
2620,46.54,81.54,86.58
2621,34.27,50.50,79.20
2622,63.51,70.85,81.88
2623,47.56,82.56,87.29
2624,33.64,49.32,78.73
2625,32.66,67.66,76.86
2626,50.59,81.11,91.45
2627,30.09,65.09,75.07
2628,50.77,81.44,91.58
2629,56.66,92.50,96.00
2630,21.77,56.77,69.24
2631,57.62,94.30,96.72
2632,24.37,59.37,71.06
2633,53.16,85.92,93.37
2634,37.07,55.75,81.30
2635,22.20,57.20,69.54
2636,50.87,81.63,91.65
2637,35.32,52.47,79.99
2638,44.21,69.14,86.66
2639,24.07,59.07,70.85
2640,28.75,63.75,74.12
2641,53.13,85.87,93.35
2642,59.92,98.60,81.88
2643,36.86,71.86,79.80
2644,61.48,70.85,81.88
2645,60.12,98.98,81.88
2646,32.58,67.58,76.80
2647,42.22,65.42,85.17
2648,53.32,86.23,93.49
2649,38.25,73.25,80.77
2650,47.97,76.20,89.48
2651,35.05,51.97,79.79
2652,49.91,79.83,90.93
2653,30.71,65.71,75.50
2654,41.66,64.36,84.74
2655,45.69,71.92,87.77
2656,32.16,67.16,76.51
2657,57.42,93.92,96.57
2658,57.75,94.54,96.81
2659,67.70,70.85,81.88
2660,59.09,97.04,97.82
2661,41.69,64.42,84.77
2662,58.26,95.50,97.20
2663,52.44,84.57,92.83
2664,33.34,48.77,78.51
2665,54.67,88.76,94.50
2666,23.78,58.78,70.64
2667,62.27,70.85,81.88
2668,28.86,63.86,74.20
2669,45.92,72.34,87.94
2670,28.24,63.24,73.77
2671,24.79,59.79,71.35
2672,27.79,62.79,73.45
2673,47.14,74.64,88.85
2674,25.61,60.61,71.93
2675,24.32,59.32,71.03
2676,45.06,70.74,87.29
2677,53.12,85.84,93.34
2678,33.04,68.04,77.13
2679,52.90,85.44,93.17
2680,21.07,56.07,68.75
2681,66.31,70.85,81.88
2682,41.03,63.18,84.27
2683,50.30,80.56,91.22
2684,60.66,99.99,81.88
2685,54.71,88.83,94.53
2686,25.17,60.17,71.62
2687,44.73,79.73,85.31
2688,57.64,94.32,96.73
2689,22.69,57.69,69.88
2690,53.69,86.92,93.77
2691,39.92,74.92,81.94
2692,11.34,46.34,61.94
2693,52.09,83.92,92.57
2694,44.81,70.27,87.11
2695,35.22,52.30,79.92
2696,26.98,61.98,72.89
2697,46.71,73.83,88.53
2698,51.52,82.86,92.14
2699,59.10,97.06,97.82
2700,8.09,43.09,59.66
2701,41.77,64.56,84.83
2702,49.41,84.41,88.58
2703,34.85,69.85,78.39
2704,27.98,62.98,73.59
2705,18.30,53.30,66.81
2706,57.05,93.22,96.29
2707,37.60,72.60,80.32
2708,31.98,66.98,76.38
2709,50.56,81.05,91.42
2710,50.51,80.95,91.38
2711,57.34,93.76,96.50
2712,40.48,62.16,83.86
2713,53.57,86.70,93.68
2714,45.72,80.72,86.01
2715,57.52,94.10,96.64
2716,31.16,66.16,75.81
2717,25.34,60.34,71.74
2718,48.46,83.46,87.92
2719,43.43,67.68,86.07
2720,50.20,80.38,91.15
2721,59.83,98.43,81.88
2722,38.63,73.63,81.04
2723,73.79,70.85,81.88
2724,53.96,87.43,93.97
2725,46.57,73.57,88.43
2726,2.14,37.14,55.50
2727,50.14,80.26,91.11
2728,38.32,73.32,80.82
2729,51.89,86.89,90.32
2730,18.54,53.54,66.98
2731,43.91,68.58,86.43
2732,30.23,65.23,75.16
2733,46.96,74.30,88.72
2734,54.50,88.44,94.38
2735,52.62,84.92,92.97
2736,53.27,86.14,93.45
2737,44.12,68.98,86.59
2738,18.41,53.41,66.89
2739,51.28,82.39,91.96
2740,54.21,87.89,94.16
2741,28.36,63.36,73.85
2742,23.16,58.16,70.21
2743,42.40,65.76,85.30
2744,46.00,72.51,88.00
2745,29.65,64.65,74.75
2746,36.47,54.63,80.85
2747,37.15,72.15,80.00
2748,42.37,65.69,85.28
2749,26.43,61.43,72.50
2750,19.75,54.75,67.82
2751,34.10,69.10,77.87
2752,35.30,70.30,78.71
2753,26.37,61.37,72.46
2754,40.71,62.58,84.03
2755,42.02,65.04,85.02
2756,43.88,68.53,86.41
2757,36.11,71.11,79.27
2758,18.04,53.04,66.63
2759,45.91,72.32,87.93
2760,55.57,90.45,95.18
2761,39.02,59.41,82.77
2762,59.30,97.44,97.97
2763,62.06,70.85,81.88
2764,51.31,82.45,91.98
2765,51.41,82.65,92.06
2766,23.93,58.93,70.75
2767,46.84,74.07,88.63
2768,33.02,68.02,77.12
2769,27.43,62.43,73.20
2770,55.24,89.82,94.93
2771,50.30,80.57,91.23
2772,62.05,70.85,81.88
2773,38.25,57.97,82.19
2774,53.09,85.80,93.32
2775,49.78,79.59,90.83
2776,54.15,87.77,94.11
2777,32.35,67.35,76.64
2778,32.63,47.43,77.97
2779,64.83,70.85,81.88
2780,14.27,49.27,63.99
2781,41.09,63.30,84.32
2782,46.25,72.97,88.19
2783,44.64,69.95,86.98
2784,52.23,87.23,90.56
2785,29.92,64.92,74.95
2786,34.29,69.29,78.00
2787,40.56,75.56,82.39
2788,55.37,90.07,95.03
2789,58.47,95.88,97.35
2790,56.85,92.84,96.13
2791,18.43,53.43,66.90
2792,26.96,61.96,72.87
2793,52.09,83.93,92.57
2794,55.85,90.96,95.39
2795,30.92,65.92,75.65
2796,30.99,65.99,75.69
2797,35.93,70.93,79.15
2798,42.75,77.75,83.92
2799,40.07,75.07,82.05
2800,35.09,52.05,79.82
2801,8.96,43.96,60.27
2802,29.16,64.16,74.41
2803,37.56,72.56,80.29
2804,46.37,73.19,88.28
2805,50.65,81.21,91.48
2806,19.54,54.54,67.68
2807,60.26,99.23,81.88
2808,49.24,78.57,90.43
2809,62.42,70.85,81.88
2810,48.94,78.02,90.21
2811,46.86,74.11,88.64
2812,49.96,79.92,90.97
2813,37.18,72.18,80.03
2814,26.71,61.71,72.70
2815,55.82,90.91,95.36
2816,46.78,73.97,88.59
2817,31.87,46.01,77.40
2818,40.59,62.36,83.94
2819,49.48,79.02,90.61
2820,45.71,71.95,87.78
2821,33.89,68.89,77.72
2822,42.89,66.67,85.67
2823,37.91,72.91,80.54
2824,31.89,66.89,76.32
2825,44.51,69.70,86.88
2826,35.15,70.15,78.60
2827,28.30,63.30,73.81
2828,40.41,75.41,82.29
2829,45.06,70.73,87.29
2830,35.98,53.71,80.49
2831,48.78,77.72,90.09
2832,49.74,84.74,88.82
2833,33.03,68.03,77.12
2834,46.97,74.32,88.73
2835,34.80,69.80,78.36
2836,35.45,70.45,78.82
2837,27.67,62.67,73.37
2838,9.44,44.44,60.61
2839,18.53,53.53,66.97
2840,28.20,63.20,73.74
2841,19.00,54.00,67.30
2842,49.96,79.93,90.97
2843,29.52,64.52,74.66
2844,54.58,88.58,94.43
2845,54.17,89.17,91.92
2846,44.36,69.43,86.77
2847,34.50,69.50,78.15
2848,34.91,69.91,78.44
2849,30.50,65.50,75.35
2850,36.55,71.55,79.58
2851,54.93,89.25,94.70
2852,37.71,72.71,80.40
2853,46.75,73.90,88.56
2854,46.69,73.80,88.52
2855,30.58,65.58,75.40
2856,17.37,52.37,66.16
2857,50.40,80.75,91.30
2858,46.28,73.03,88.21
2859,14.83,49.83,64.38
2860,62.37,70.85,81.88
2861,50.01,80.02,91.01
2862,51.42,82.66,92.07
2863,46.72,81.72,86.70
2864,54.04,87.57,94.03
2865,39.19,74.19,81.43
2866,32.32,67.32,76.63
2867,34.22,69.22,77.96
2868,60.16,99.05,81.88
2869,14.06,49.06,63.85
2870,42.49,65.92,85.37
2871,41.87,76.87,83.31
2872,41.74,76.74,83.22
2873,24.94,59.94,71.46
2874,61.31,70.85,81.88
2875,50.17,80.31,91.13
2876,35.19,52.23,79.89
2877,28.32,63.32,73.82
2878,43.91,68.58,86.43
2879,34.03,69.03,77.82
2880,40.69,62.55,84.02
2881,48.83,83.83,88.18
2882,48.56,83.56,87.99
2883,51.55,82.90,92.16
2884,23.58,58.58,70.50
2885,59.65,98.10,81.88
2886,58.24,95.45,97.18
2887,23.45,58.45,70.42
2888,11.62,46.62,62.13
2889,43.18,67.20,85.88
2890,46.99,74.35,88.74
2891,45.24,71.08,87.43
2892,36.81,71.81,79.77
2893,34.08,69.08,77.85
2894,46.31,73.08,88.23
2895,38.82,59.04,82.62
2896,29.33,64.33,74.53
2897,34.40,69.40,78.08
2898,14.78,49.78,64.35
2899,49.65,79.34,90.74
2900,31.89,66.89,76.32
2901,43.62,68.03,86.21
2902,64.63,70.85,81.88
2903,30.96,65.96,75.67
2904,49.81,79.65,90.86
2905,35.49,70.49,78.84
2906,43.85,68.47,86.39
2907,32.04,67.04,76.43
2908,34.08,69.08,77.86
2909,44.27,79.27,84.99
2910,39.25,74.25,81.48
2911,48.28,76.77,89.71
2912,47.99,76.23,89.49
2913,46.02,81.02,86.22
2914,65.09,70.85,81.88
2915,56.47,91.47,93.53
2916,23.26,58.26,70.28
2917,18.21,53.21,66.75
2918,52.30,84.31,92.72
2919,29.88,64.88,74.92
2920,42.60,77.60,83.82
2921,48.69,77.54,90.01
2922,43.67,68.14,86.25
2923,37.61,72.61,80.32
2924,27.50,62.50,73.25
2925,40.79,75.79,82.55
2926,36.43,71.43,79.50
2927,51.31,82.46,91.99
2928,31.76,66.76,76.23
2929,39.33,60.00,83.00
2930,18.31,53.31,66.82
2931,24.21,59.21,70.94
2932,32.97,67.97,77.08
2933,60.75,70.85,81.88
2934,52.91,85.46,93.18
2935,34.88,69.88,78.42
2936,37.41,56.39,81.56
2937,42.35,65.65,85.26
2938,46.32,73.11,88.24
2939,44.59,69.86,86.95
2940,19.13,54.13,67.39
2941,55.44,90.21,95.08
2942,33.13,68.13,77.19
2943,40.54,62.27,83.91
2944,24.28,59.28,70.99
2945,44.03,68.81,86.52
2946,60.96,70.85,81.88
2947,62.57,70.85,81.88
2948,15.64,50.64,64.95
2949,19.38,54.38,67.57
2950,48.93,83.93,88.25
2951,50.07,80.14,91.06
2952,30.68,65.68,75.47
2953,4.28,39.28,56.99
2954,42.20,77.20,83.54
2955,54.82,89.04,94.61
2956,34.55,69.55,78.18
2957,47.53,75.37,89.15
2958,34.30,50.56,79.22
2959,45.13,70.87,87.35
2960,65.65,70.85,81.88
2961,63.58,70.85,81.88
2962,28.31,63.31,73.82
2963,42.32,65.60,85.24
2964,26.27,61.27,72.39
2965,16.54,51.54,65.57
2966,9.11,44.11,60.38
2967,28.98,63.98,74.29
2968,44.74,70.15,87.06
2969,27.84,62.84,73.49
2970,58.12,95.23,97.09
2971,51.67,86.67,90.17
2972,60.75,70.85,81.88
2973,28.03,63.03,73.62
2974,42.74,77.74,83.92
2975,26.93,61.93,72.85
2976,35.22,70.22,78.65
2977,39.10,59.56,82.82
2978,43.27,67.38,85.95
2979,10.98,45.98,61.69
2980,49.11,78.33,90.33
2981,48.64,83.64,88.05
2982,58.47,95.88,97.35
2983,51.42,82.67,92.07
2984,34.43,69.43,78.10
2985,51.80,83.38,92.35
2986,48.17,76.57,89.63
2987,37.16,72.16,80.01
2988,23.95,58.95,70.77
2989,26.29,61.29,72.41
2990,24.66,59.66,71.26
2991,48.12,83.12,87.69
2992,42.00,65.01,85.00
2993,43.27,67.38,85.95
2994,35.47,70.47,78.83
2995,37.69,72.69,80.38
2996,51.73,83.25,92.30
2997,48.98,78.09,90.24
2998,55.02,89.41,94.76
2999,46.91,74.20,88.68
3000,19.22,54.22,67.46
3001,37.39,72.39,80.17
3002,43.45,67.72,86.09
3003,43.22,67.29,85.92
3004,34.13,50.24,79.09
3005,13.97,48.97,63.78
3006,39.33,74.33,81.53
3007,54.91,89.20,94.68
3008,52.40,84.49,92.80
3009,48.86,83.86,88.20
3010,45.78,80.78,86.05
3011,44.09,68.92,86.57
3012,45.56,71.68,87.67
3013,17.34,52.34,66.14
3014,52.36,87.36,90.65
3015,33.32,68.32,77.32
3016,28.61,63.61,74.03
3017,59.17,97.18,97.87
3018,51.58,82.95,92.18
3019,26.77,61.77,72.74
3020,19.64,54.64,67.75
3021,42.41,65.76,85.30
3022,60.47,99.64,81.88
3023,44.10,68.93,86.57
3024,48.66,77.48,89.99
3025,44.22,69.17,86.67
3026,49.19,78.48,90.39
3027,12.72,47.72,62.90
3028,58.41,95.76,97.31
3029,45.58,71.71,87.68
3030,65.33,70.85,81.88
3031,58.76,96.43,97.57
3032,49.52,79.10,90.64
3033,39.76,60.80,83.32
3034,38.22,57.92,82.17
3035,28.67,63.67,74.07
3036,25.94,34.89,72.96
3037,61.75,70.85,81.88
3038,44.30,69.32,86.73
3039,46.60,81.60,86.62
3040,59.93,98.62,81.88
3041,44.28,69.28,86.71
3042,38.81,59.01,82.60
3043,42.10,77.10,83.47
3044,38.59,58.60,82.44
