vmt,Clusters,num_drivers,cum_frequency
521,All,11,1828117
522,Ultra High Mileage,8,164631
522,Low Frequency High Mileage,1,565967
522,All,9,1828126
523,Ultra High Mileage,8,164639
523,Low Frequency High Mileage,1,565968
523,All,9,1828135
524,Ultra High Mileage,9,164648
524,Low Frequency High Mileage,2,565970
524,All,11,1828146
525,Ultra High Mileage,11,164659
525,Low Frequency High Mileage,5,565975
525,All,16,1828162
526,Ultra High Mileage,10,164669
526,Low Frequency High Mileage,2,565977
526,All,12,1828174
527,Ultra High Mileage,8,164677
527,Low Frequency High Mileage,1,565978
527,All,9,1828183
528,Ultra High Mileage,7,164684
528,Low Frequency High Mileage,1,565979
528,All,8,1828191
529,Ultra High Mileage,9,164693
529,Low Frequency High Mileage,1,565980
529,All,10,1828201
530,Ultra High Mileage,13,164706
530,Low Frequency High Mileage,2,565982
530,All,15,1828216
531,Ultra High Mileage,6,164712
531,Low Frequency High Mileage,4,565986
531,All,10,1828226
532,Ultra High Mileage,8,164720
532,Low Frequency High Mileage,3,565989
532,All,11,1828237
533,Ultra High Mileage,14,164734
533,Low Frequency High Mileage,2,565991
533,All,16,1828253
534,Ultra High Mileage,7,164741
534,Low Frequency High Mileage,1,565992
534,All,8,1828261
535,Ultra High Mileage,7,164748
535,Low Frequency High Mileage,2,565994
535,All,9,1828270
536,Ultra High Mileage,4,164752
536,Low Frequency High Mileage,2,565996
536,All,6,1828276
537,Ultra High Mileage,3,164755
537,Low Frequency High Mileage,2,565998
537,All,5,1828281
538,Ultra High Mileage,7,164762
538,Low Frequency High Mileage,2,566000
538,All,9,1828290
539,Ultra High Mileage,4,164766
539,Low Frequency High Mileage,2,566002
539,All,6,1828296
540,Ultra High Mileage,7,164773
540,Low Frequency High Mileage,1,566003
540,All,8,1828304
541,Ultra High Mileage,8,164781
541,Low Frequency High Mileage,3,566006
541,All,11,1828315
542,Ultra High Mileage,5,164786
542,Low Frequency High Mileage,1,566007
542,All,6,1828321
543,Ultra High Mileage,7,164793
543,Low Frequency High Mileage,3,566010
543,All,10,1828331
544,Ultra High Mileage,3,164796
544,All,3,1828334
545,Ultra High Mileage,6,164802
545,Low Frequency High Mileage,1,566011
545,All,7,1828341
546,Ultra High Mileage,4,164806
546,Low Frequency High Mileage,2,566013
546,All,6,1828347
547,Ultra High Mileage,3,164809
547,All,3,1828350
548,Ultra High Mileage,6,164815
548,All,6,1828356
549,Ultra High Mileage,6,164821
549,All,6,1828362
550,Ultra High Mileage,7,164828
550,Low Frequency High Mileage,1,566014
550,All,8,1828370
551,Ultra High Mileage,4,164832
551,Low Frequency High Mileage,2,566016
551,All,6,1828376
552,Ultra High Mileage,8,164840
552,All,8,1828384
553,Ultra High Mileage,8,164848
553,All,8,1828392
554,Ultra High Mileage,4,164852
554,Low Frequency High Mileage,1,566017
554,All,5,1828397
555,Ultra High Mileage,4,164856
555,Low Frequency High Mileage,1,566018
555,All,5,1828402
556,Ultra High Mileage,4,164860
556,All,4,1828406
557,Ultra High Mileage,1,164861
557,All,1,1828407
558,Ultra High Mileage,5,164866
558,All,5,1828412
559,Ultra High Mileage,7,164873
559,All,7,1828419
560,Ultra High Mileage,4,164877
560,Low Frequency High Mileage,2,566020
560,All,6,1828425
561,Ultra High Mileage,4,164881
561,All,4,1828429
562,Ultra High Mileage,1,164882
562,All,1,1828430
563,Ultra High Mileage,5,164887
563,All,5,1828435
564,Ultra High Mileage,2,164889
564,Low Frequency High Mileage,1,566021
564,All,3,1828438
565,Ultra High Mileage,3,164892
565,All,3,1828441
566,Ultra High Mileage,2,164894
566,Low Frequency High Mileage,1,566022
566,All,3,1828444
567,Ultra High Mileage,5,164899
567,All,5,1828449
568,Ultra High Mileage,2,164901
568,Low Frequency High Mileage,1,566023
568,All,3,1828452
569,Ultra High Mileage,5,164906
569,Low Frequency Low Mileage,1,849030
569,All,6,1828458
570,Ultra High Mileage,4,164910
570,All,4,1828462
572,Ultra High Mileage,2,164912
572,Low Frequency High Mileage,1,566024
572,All,3,1828465
573,Ultra High Mileage,2,164914
573,Low Frequency High Mileage,2,566026
573,All,4,1828469
574,Ultra High Mileage,3,164917
574,Low Frequency High Mileage,1,566027
574,All,4,1828473
575,Ultra High Mileage,1,164918
575,Low Frequency High Mileage,1,566028
575,All,2,1828475
576,Ultra High Mileage,2,164920
576,All,2,1828477
577,Ultra High Mileage,3,164923
577,Low Frequency High Mileage,1,566029
577,All,4,1828481
578,Ultra High Mileage,2,164925
578,All,2,1828483
579,Ultra High Mileage,5,164930
579,All,5,1828488
580,Ultra High Mileage,5,164935
580,Low Frequency High Mileage,2,566031
580,Low Frequency Low Mileage,1,849031
580,All,8,1828496
581,Ultra High Mileage,5,164940
581,Low Frequency High Mileage,2,566033
581,All,7,1828503
582,Ultra High Mileage,2,164942
582,All,2,1828505
583,Ultra High Mileage,6,164948
583,All,6,1828511
584,Ultra High Mileage,5,164953
584,All,5,1828516
585,Ultra High Mileage,1,164954
585,Low Frequency High Mileage,1,566034
585,All,2,1828518
587,Ultra High Mileage,2,164956
587,All,2,1828520
588,Ultra High Mileage,1,164957
588,All,1,1828521
589,Ultra High Mileage,1,164958
589,All,1,1828522
590,Ultra High Mileage,1,164959
590,Low Frequency High Mileage,1,566035
590,All,2,1828524
591,Ultra High Mileage,3,164962
591,All,3,1828527
592,Ultra High Mileage,3,164965
592,All,3,1828530
593,Low Frequency High Mileage,1,566036
593,All,1,1828531
594,Ultra High Mileage,2,164967
594,Low Frequency Low Mileage,1,849032
594,All,3,1828534
596,Ultra High Mileage,4,164971
596,All,4,1828538
597,Ultra High Mileage,4,164975
597,Low Frequency High Mileage,1,566037
597,All,5,1828543
598,Ultra High Mileage,3,164978
598,All,3,1828546
599,Ultra High Mileage,3,164981
599,Low Frequency High Mileage,1,566038
599,All,4,1828550
600,Ultra High Mileage,3,164984
600,Low Frequency High Mileage,1,566039
600,All,4,1828554
601,Ultra High Mileage,4,164988
601,All,4,1828558
602,Ultra High Mileage,1,164989
602,Low Frequency High Mileage,1,566040
602,All,2,1828560
603,Ultra High Mileage,2,164991
603,All,2,1828562
604,Ultra High Mileage,2,164993
604,All,2,1828564
605,Ultra High Mileage,1,164994
605,All,1,1828565
606,Ultra High Mileage,2,164996
606,All,2,1828567
607,Ultra High Mileage,1,164997
607,All,1,1828568
608,Ultra High Mileage,1,164998
608,All,1,1828569
609,Ultra High Mileage,1,164999
609,All,1,1828570
610,Ultra High Mileage,3,165002
610,All,3,1828573
611,Ultra High Mileage,2,165004
611,All,2,1828575
612,Ultra High Mileage,1,165005
612,All,1,1828576
613,Ultra High Mileage,1,165006
613,Low Frequency High Mileage,1,566041
613,All,2,1828578
614,Ultra High Mileage,1,165007
614,All,1,1828579
615,Ultra High Mileage,2,165009
615,All,2,1828581
616,Ultra High Mileage,2,165011
616,Low Frequency High Mileage,1,566042
616,All,3,1828584
617,Low Frequency High Mileage,2,566044
617,All,2,1828586
618,Ultra High Mileage,2,165013
618,All,2,1828588
619,Low Frequency High Mileage,1,566045
619,All,1,1828589
620,Ultra High Mileage,2,165015
620,All,2,1828591
621,Ultra High Mileage,1,165016
621,All,1,1828592
622,Ultra High Mileage,1,165017
622,All,1,1828593
623,Ultra High Mileage,2,165019
623,All,2,1828595
624,Ultra High Mileage,2,165021
624,All,2,1828597
626,Ultra High Mileage,2,165023
626,Low Frequency High Mileage,1,566046
626,All,3,1828600
627,Ultra High Mileage,3,165026
627,Low Frequency High Mileage,1,566047
627,All,4,1828604
628,Ultra High Mileage,1,165027
628,All,1,1828605
629,Ultra High Mileage,1,165028
629,All,1,1828606
630,Ultra High Mileage,1,165029
630,Low Frequency High Mileage,1,566048
630,All,2,1828608
631,Ultra High Mileage,1,165030
631,All,1,1828609
632,Ultra High Mileage,1,165031
632,All,1,1828610
633,Ultra High Mileage,2,165033
633,Low Frequency High Mileage,1,566049
633,All,3,1828613
634,Ultra High Mileage,1,165034
634,Low Frequency High Mileage,1,566050
634,All,2,1828615
635,Ultra High Mileage,2,165036
635,All,2,1828617
637,Ultra High Mileage,2,165038
637,All,2,1828619
638,Low Frequency High Mileage,1,566051
638,All,1,1828620
639,Ultra High Mileage,2,165040
639,All,2,1828622
640,Ultra High Mileage,3,165043
640,All,3,1828625
641,Ultra High Mileage,1,165044
641,Low Frequency High Mileage,1,566052
641,All,2,1828627
642,Ultra High Mileage,2,165046
642,All,2,1828629
643,Ultra High Mileage,2,165048
643,All,2,1828631
646,Ultra High Mileage,1,165049
646,All,1,1828632
649,Ultra High Mileage,1,165050
649,All,1,1828633
651,Ultra High Mileage,1,165051
651,All,1,1828634
652,Ultra High Mileage,2,165053
652,All,2,1828636
653,Ultra High Mileage,1,165054
653,All,1,1828637
654,Ultra High Mileage,2,165056
654,Low Frequency High Mileage,1,566053
654,All,3,1828640
657,Ultra High Mileage,1,165057
657,All,1,1828641
658,Ultra High Mileage,1,165058
658,All,1,1828642
660,Low Frequency High Mileage,1,566054
660,All,1,1828643
661,Ultra High Mileage,2,165060
661,All,2,1828645
663,Ultra High Mileage,1,165061
663,All,1,1828646
665,Ultra High Mileage,1,165062
665,All,1,1828647
667,Ultra High Mileage,1,165063
667,All,1,1828648
669,Ultra High Mileage,1,165064
669,All,1,1828649
670,Ultra High Mileage,1,165065
670,All,1,1828650
671,Ultra High Mileage,1,165066
671,All,1,1828651
672,Ultra High Mileage,1,165067
672,All,1,1828652
673,Low Frequency High Mileage,1,566055
673,All,1,1828653
674,Ultra High Mileage,1,165068
674,All,1,1828654
677,Ultra High Mileage,1,165069
677,All,1,1828655
678,Ultra High Mileage,1,165070
678,All,1,1828656
681,Ultra High Mileage,1,165071
681,All,1,1828657
685,Ultra High Mileage,4,165075
685,All,4,1828661
688,Ultra High Mileage,2,165077
688,All,2,1828663
689,Ultra High Mileage,2,165079
689,All,2,1828665
690,Ultra High Mileage,1,165080
690,All,1,1828666
693,Ultra High Mileage,1,165081
693,All,1,1828667
698,Ultra High Mileage,1,165082
698,All,1,1828668
701,Ultra High Mileage,1,165083
701,All,1,1828669
705,Ultra High Mileage,1,165084
705,All,1,1828670
706,Ultra High Mileage,1,165085
706,All,1,1828671
709,Ultra High Mileage,1,165086
709,All,1,1828672
717,Ultra High Mileage,1,165087
717,All,1,1828673
723,Ultra High Mileage,2,165089
723,All,2,1828675
724,Ultra High Mileage,1,165090
724,All,1,1828676
727,Ultra High Mileage,1,165091
727,All,1,1828677
729,Ultra High Mileage,1,165092
729,All,1,1828678
733,Ultra High Mileage,1,165093
733,All,1,1828679
738,Ultra High Mileage,1,165094
738,All,1,1828680
741,Ultra High Mileage,1,165095
741,All,1,1828681
744,Ultra High Mileage,2,165097
744,All,2,1828683
747,Low Frequency High Mileage,1,566056
747,All,1,1828684
753,Ultra High Mileage,1,165098
753,All,1,1828685
756,Ultra High Mileage,1,165099
756,All,1,1828686
767,Low Frequency High Mileage,1,566057
767,All,1,1828687
781,Ultra High Mileage,1,165100
781,All,1,1828688
786,Low Frequency High Mileage,1,566058
786,All,1,1828689
793,Ultra High Mileage,1,165101
793,All,1,1828690
797,Ultra High Mileage,1,165102
797,All,1,1828691
798,Ultra High Mileage,1,165103
798,All,1,1828692
804,Ultra High Mileage,1,165104
804,All,1,1828693
815,Ultra High Mileage,1,165105
815,All,1,1828694
828,Low Frequency High Mileage,1,566059
828,All,1,1828695
830,Ultra High Mileage,1,165106
830,All,1,1828696
841,Ultra High Mileage,1,165107
841,All,1,1828697
847,Ultra High Mileage,1,165108
847,All,1,1828698
856,Ultra High Mileage,1,165109
856,All,1,1828699
864,Ultra High Mileage,2,165111
864,All,2,1828701
869,Ultra High Mileage,1,165112
869,All,1,1828702
870,Ultra High Mileage,1,165113
870,All,1,1828703
873,Ultra High Mileage,1,165114
873,All,1,1828704
879,Ultra High Mileage,1,165115
879,All,1,1828705
880,Ultra High Mileage,1,165116
880,All,1,1828706
882,Ultra High Mileage,1,165117
882,All,1,1828707
884,Ultra High Mileage,1,165118
884,All,1,1828708
886,Ultra High Mileage,1,165119
886,All,1,1828709
891,Ultra High Mileage,1,165120
891,All,1,1828710
899,Ultra High Mileage,2,165122
899,All,2,1828712
900,Ultra High Mileage,2,165124
900,All,2,1828714
903,Ultra High Mileage,1,165125
903,All,1,1828715
905,Ultra High Mileage,1,165126
905,All,1,1828716
913,Ultra High Mileage,1,165127
913,All,1,1828717
914,Low Frequency High Mileage,1,566060
914,All,1,1828718
923,Ultra High Mileage,1,165128
923,All,1,1828719
941,Ultra High Mileage,1,165129
941,All,1,1828720
951,Ultra High Mileage,1,165130
951,All,1,1828721
953,Ultra High Mileage,1,165131
953,All,1,1828722
995,Ultra High Mileage,1,165132
995,All,1,1828723
1016,Ultra High Mileage,1,165133
1016,All,1,1828724
1071,Ultra High Mileage,1,165134
1071,All,1,1828725
1073,Ultra High Mileage,1,165135
1073,All,1,1828726
1091,Ultra High Mileage,1,165136
1091,All,1,1828727
1116,Ultra High Mileage,1,165137
1116,All,1,1828728
1149,Ultra High Mileage,1,165138
1149,All,1,1828729
1158,Ultra High Mileage,1,165139
1158,All,1,1828730
1205,Ultra High Mileage,1,165140
1205,All,1,1828731
1284,Ultra High Mileage,1,165141
1284,All,1,1828732
1319,Ultra High Mileage,1,165142
1319,All,1,1828733
1431,Ultra High Mileage,1,165143
1431,All,1,1828734
