vmt,Clusters,num_drivers,cum_frequency
462,All,44,1826474
463,Ultra High Mileage,46,163284
463,Low Frequency High Mileage,6,565721
463,All,52,1826526
464,Ultra High Mileage,38,163322
464,Low Frequency High Mileage,6,565727
464,All,44,1826570
465,Ultra High Mileage,31,163353
465,Low Frequency High Mileage,9,565736
465,All,40,1826610
466,Ultra High Mileage,47,163400
466,Low Frequency High Mileage,10,565746
466,All,57,1826667
467,Ultra High Mileage,45,163445
467,Low Frequency High Mileage,10,565756
467,All,55,1826722
468,Ultra High Mileage,29,163474
468,Low Frequency High Mileage,7,565763
468,All,36,1826758
469,Ultra High Mileage,48,163522
469,Low Frequency High Mileage,7,565770
469,All,55,1826813
470,Ultra High Mileage,43,163565
470,Low Frequency High Mileage,6,565776
470,All,49,1826862
471,Ultra High Mileage,45,163610
471,Low Frequency High Mileage,10,565786
471,All,55,1826917
472,Ultra High Mileage,26,163636
472,Low Frequency High Mileage,4,565790
472,All,30,1826947
473,Ultra High Mileage,33,163669
473,Low Frequency High Mileage,3,565793
473,All,36,1826983
474,Ultra High Mileage,29,163698
474,Low Frequency High Mileage,3,565796
474,All,32,1827015
475,Ultra High Mileage,28,163726
475,Low Frequency High Mileage,5,565801
475,All,33,1827048
476,Ultra High Mileage,24,163750
476,Low Frequency High Mileage,6,565807
476,All,30,1827078
477,Ultra High Mileage,35,163785
477,Low Frequency High Mileage,3,565810
477,All,38,1827116
478,Ultra High Mileage,35,163820
478,Low Frequency High Mileage,5,565815
478,All,40,1827156
479,Ultra High Mileage,24,163844
479,Low Frequency High Mileage,7,565822
479,All,31,1827187
480,Ultra High Mileage,28,163872
480,Low Frequency High Mileage,6,565828
480,All,34,1827221
481,Ultra High Mileage,33,163905
481,High Frequency High Mileage,1,248496
481,Low Frequency High Mileage,7,565835
481,All,41,1827262
482,Ultra High Mileage,33,163938
482,Low Frequency High Mileage,4,565839
482,All,37,1827299
483,Ultra High Mileage,29,163967
483,Low Frequency High Mileage,6,565845
483,All,35,1827334
484,Ultra High Mileage,22,163989
484,Low Frequency High Mileage,2,565847
484,All,24,1827358
485,Ultra High Mileage,28,164017
485,High Frequency High Mileage,1,248497
485,Low Frequency High Mileage,4,565851
485,All,33,1827391
486,Ultra High Mileage,25,164042
486,Low Frequency High Mileage,4,565855
486,All,29,1827420
487,Ultra High Mileage,28,164070
487,Low Frequency High Mileage,5,565860
487,All,33,1827453
488,Ultra High Mileage,34,164104
488,Low Frequency High Mileage,5,565865
488,All,39,1827492
489,Ultra High Mileage,21,164125
489,Low Frequency High Mileage,2,565867
489,Low Frequency Low Mileage,1,849027
489,All,24,1827516
490,Ultra High Mileage,29,164154
490,Low Frequency High Mileage,2,565869
490,All,31,1827547
491,Ultra High Mileage,13,164167
491,High Frequency High Mileage,1,248498
491,All,14,1827561
492,Ultra High Mileage,37,164204
492,Low Frequency High Mileage,4,565873
492,All,41,1827602
493,Ultra High Mileage,22,164226
493,Low Frequency High Mileage,4,565877
493,All,26,1827628
494,Ultra High Mileage,18,164244
494,Low Frequency High Mileage,9,565886
494,All,27,1827655
495,Ultra High Mileage,25,164269
495,Low Frequency High Mileage,3,565889
495,All,28,1827683
496,Ultra High Mileage,22,164291
496,Low Frequency High Mileage,2,565891
496,All,24,1827707
497,Ultra High Mileage,21,164312
497,Low Frequency High Mileage,3,565894
497,All,24,1827731
498,Ultra High Mileage,24,164336
498,Low Frequency High Mileage,5,565899
498,All,29,1827760
499,Ultra High Mileage,18,164354
499,Low Frequency High Mileage,8,565907
499,Low Frequency Low Mileage,1,849028
499,All,27,1827787
500,Ultra High Mileage,16,164370
500,Low Frequency High Mileage,4,565911
500,All,20,1827807
501,Ultra High Mileage,18,164388
501,Low Frequency High Mileage,2,565913
501,All,20,1827827
502,Ultra High Mileage,17,164405
502,Low Frequency High Mileage,4,565917
502,All,21,1827848
503,Ultra High Mileage,11,164416
503,Low Frequency High Mileage,2,565919
503,All,13,1827861
504,Ultra High Mileage,15,164431
504,Low Frequency High Mileage,2,565921
504,All,17,1827878
505,Ultra High Mileage,13,164444
505,Low Frequency High Mileage,5,565926
505,Low Frequency Low Mileage,1,849029
505,All,19,1827897
506,Ultra High Mileage,12,164456
506,Low Frequency High Mileage,5,565931
506,All,17,1827914
507,Ultra High Mileage,16,164472
507,Low Frequency High Mileage,3,565934
507,All,19,1827933
508,Ultra High Mileage,22,164494
508,Low Frequency High Mileage,4,565938
508,All,26,1827959
509,Ultra High Mileage,11,164505
509,Low Frequency High Mileage,2,565940
509,All,13,1827972
510,Ultra High Mileage,7,164512
510,Low Frequency High Mileage,2,565942
510,All,9,1827981
511,Ultra High Mileage,10,164522
511,High Frequency High Mileage,1,248499
511,Low Frequency High Mileage,3,565945
511,All,14,1827995
512,Ultra High Mileage,9,164531
512,Low Frequency High Mileage,2,565947
512,All,11,1828006
513,Ultra High Mileage,9,164540
513,Low Frequency High Mileage,4,565951
513,All,13,1828019
514,Ultra High Mileage,17,164557
514,Low Frequency High Mileage,1,565952
514,All,18,1828037
515,Ultra High Mileage,11,164568
515,All,11,1828048
516,Ultra High Mileage,17,164585
516,Low Frequency High Mileage,3,565955
516,All,20,1828068
517,Ultra High Mileage,8,164593
517,Low Frequency High Mileage,1,565956
517,All,9,1828077
518,Ultra High Mileage,8,164601
518,Low Frequency High Mileage,2,565958
518,All,10,1828087
519,Ultra High Mileage,5,164606
519,Low Frequency High Mileage,1,565959
519,All,6,1828093
520,Ultra High Mileage,8,164614
520,Low Frequency High Mileage,5,565964
520,All,13,1828106
521,Ultra High Mileage,9,164623
521,Low Frequency High Mileage,2,565966
