vmt,type,num_drivers,cum_frequency
240,99th%_vmt,5819,1309239
240,avg_total_vmt,266,1821199
241,90th%_vmt,3479,1660372
241,95th%_vmt,4914,1540702
241,99th%_vmt,5903,1315142
241,avg_total_vmt,297,1821496
242,90th%_vmt,3382,1663754
242,95th%_vmt,4830,1545532
242,99th%_vmt,5804,1320946
242,avg_total_vmt,284,1821780
243,90th%_vmt,3268,1667022
243,95th%_vmt,4731,1550263
243,99th%_vmt,5682,1326628
243,avg_total_vmt,236,1822016
244,90th%_vmt,3327,1670349
244,95th%_vmt,4635,1554898
244,99th%_vmt,5666,1332294
244,avg_total_vmt,222,1822238
245,90th%_vmt,3131,1673480
245,95th%_vmt,4593,1559491
245,99th%_vmt,5734,1338028
245,avg_total_vmt,226,1822464
246,90th%_vmt,3140,1676620
246,95th%_vmt,4566,1564057
246,99th%_vmt,5680,1343708
246,avg_total_vmt,235,1822699
247,90th%_vmt,3080,1679700
247,95th%_vmt,4378,1568435
247,99th%_vmt,5608,1349316
247,avg_total_vmt,222,1822921
248,90th%_vmt,3140,1682840
248,95th%_vmt,4346,1572781
248,99th%_vmt,5541,1354857
248,avg_total_vmt,204,1823125
249,90th%_vmt,3132,1685972
249,95th%_vmt,4408,1577189
249,99th%_vmt,5398,1360255
249,avg_total_vmt,177,1823302
250,90th%_vmt,3000,1688972
250,95th%_vmt,4200,1581389
250,99th%_vmt,5406,1365661
250,avg_total_vmt,207,1823509
251,90th%_vmt,2869,1691841
251,95th%_vmt,4272,1585661
251,99th%_vmt,5286,1370947
251,avg_total_vmt,176,1823685
252,90th%_vmt,2901,1694742
252,95th%_vmt,4260,1589921
252,99th%_vmt,5436,1376383
252,avg_total_vmt,171,1823856
253,90th%_vmt,2775,1697517
253,95th%_vmt,4131,1594052
253,99th%_vmt,5371,1381754
253,avg_total_vmt,150,1824006
254,90th%_vmt,2689,1700206
254,95th%_vmt,4129,1598181
254,99th%_vmt,5275,1387029
254,avg_total_vmt,178,1824184
255,90th%_vmt,2702,1702908
255,95th%_vmt,4027,1602208
255,99th%_vmt,5180,1392209
255,avg_total_vmt,168,1824352
256,90th%_vmt,2680,1705588
256,95th%_vmt,3860,1606068
256,99th%_vmt,5168,1397377
256,avg_total_vmt,174,1824526
257,90th%_vmt,2614,1708202
257,95th%_vmt,3836,1609904
257,99th%_vmt,5274,1402651
257,avg_total_vmt,143,1824669
258,90th%_vmt,2511,1710713
258,95th%_vmt,3754,1613658
258,99th%_vmt,5144,1407795
258,avg_total_vmt,138,1824807
259,90th%_vmt,2472,1713185
259,95th%_vmt,3760,1617418
259,99th%_vmt,5088,1412883
259,avg_total_vmt,137,1824944
260,90th%_vmt,2406,1715591
260,95th%_vmt,3703,1621121
260,99th%_vmt,5113,1417996
260,avg_total_vmt,149,1825093
261,90th%_vmt,2411,1718002
261,95th%_vmt,3696,1624817
261,99th%_vmt,5005,1423001
261,avg_total_vmt,123,1825216
262,90th%_vmt,2374,1720376
262,95th%_vmt,3547,1628364
262,99th%_vmt,4866,1427867
262,avg_total_vmt,113,1825329
263,90th%_vmt,2298,1722674
263,95th%_vmt,3547,1631911
263,99th%_vmt,4877,1432744
263,avg_total_vmt,114,1825443
264,90th%_vmt,2295,1724969
264,95th%_vmt,3444,1635355
264,99th%_vmt,4850,1437594
264,avg_total_vmt,106,1825549
265,90th%_vmt,2192,1727161
265,95th%_vmt,3437,1638792
265,99th%_vmt,4766,1442360
265,avg_total_vmt,101,1825650
266,90th%_vmt,2119,1729280
266,95th%_vmt,3405,1642197
266,99th%_vmt,4608,1446968
266,avg_total_vmt,110,1825760
267,90th%_vmt,2181,1731461
267,95th%_vmt,3440,1645637
267,99th%_vmt,4687,1451655
267,avg_total_vmt,106,1825866
268,90th%_vmt,2121,1733582
268,95th%_vmt,3298,1648935
268,99th%_vmt,4550,1456205
268,avg_total_vmt,95,1825961
269,90th%_vmt,2090,1735672
269,95th%_vmt,3226,1652161
269,99th%_vmt,4568,1460773
269,avg_total_vmt,99,1826060
270,90th%_vmt,2033,1737705
270,95th%_vmt,3259,1655420
270,99th%_vmt,4506,1465279
270,avg_total_vmt,92,1826152
271,90th%_vmt,1980,1739685
271,95th%_vmt,3241,1658661
271,99th%_vmt,4582,1469861
271,avg_total_vmt,87,1826239
272,90th%_vmt,1947,1741632
272,95th%_vmt,3095,1661756
272,99th%_vmt,4586,1474447
272,avg_total_vmt,89,1826328
273,90th%_vmt,2013,1743645
273,95th%_vmt,3066,1664822
273,99th%_vmt,4471,1478918
273,avg_total_vmt,76,1826404
274,90th%_vmt,1866,1745511
274,95th%_vmt,2991,1667813
274,99th%_vmt,4584,1483502
274,avg_total_vmt,70,1826474
275,90th%_vmt,1860,1747371
275,95th%_vmt,2978,1670791
275,99th%_vmt,4327,1487829
275,avg_total_vmt,81,1826555
276,90th%_vmt,1846,1749217
276,95th%_vmt,2885,1673676
276,99th%_vmt,4333,1492162
276,avg_total_vmt,83,1826638
277,90th%_vmt,1794,1751011
277,95th%_vmt,2878,1676554
277,99th%_vmt,4242,1496404
277,avg_total_vmt,55,1826693
278,90th%_vmt,1712,1752723
278,95th%_vmt,2895,1679449
278,99th%_vmt,4277,1500681
278,avg_total_vmt,57,1826750
279,90th%_vmt,1703,1754426
279,95th%_vmt,2791,1682240
279,99th%_vmt,4217,1504898
279,avg_total_vmt,81,1826831
280,90th%_vmt,1721,1756147
280,95th%_vmt,2699,1684939
280,99th%_vmt,4114,1509012
280,avg_total_vmt,75,1826906
281,90th%_vmt,1658,1757805
281,95th%_vmt,2689,1687628
281,99th%_vmt,4207,1513219
281,avg_total_vmt,57,1826963
282,90th%_vmt,1510,1759315
282,95th%_vmt,2602,1690230
282,99th%_vmt,4082,1517301
282,avg_total_vmt,45,1827008
283,90th%_vmt,1544,1760859
283,95th%_vmt,2595,1692825
283,99th%_vmt,3978,1521279
283,avg_total_vmt,52,1827060
284,90th%_vmt,1507,1762366
284,95th%_vmt,2559,1695384
284,99th%_vmt,3946,1525225
284,avg_total_vmt,55,1827115
285,90th%_vmt,1494,1763860
285,95th%_vmt,2503,1697887
285,99th%_vmt,3915,1529140
285,avg_total_vmt,67,1827182
286,90th%_vmt,1449,1765309
286,95th%_vmt,2476,1700363
286,99th%_vmt,3968,1533108
286,avg_total_vmt,42,1827224
287,90th%_vmt,1345,1766654
287,95th%_vmt,2458,1702821
287,99th%_vmt,3895,1537003
287,avg_total_vmt,55,1827279
288,90th%_vmt,1399,1768053
288,95th%_vmt,2377,1705198
288,99th%_vmt,3935,1540938
288,avg_total_vmt,44,1827323
289,90th%_vmt,1395,1769448
289,95th%_vmt,2396,1707594
289,99th%_vmt,3895,1544833
289,avg_total_vmt,54,1827377
290,90th%_vmt,1369,1770817
290,95th%_vmt,2288,1709882
290,99th%_vmt,3770,1548603
290,avg_total_vmt,36,1827413
291,90th%_vmt,1273,1772090
291,95th%_vmt,2229,1712111
291,99th%_vmt,3635,1552238
291,avg_total_vmt,41,1827454
292,90th%_vmt,1309,1773399
292,95th%_vmt,2258,1714369
292,99th%_vmt,3680,1555918
292,avg_total_vmt,38,1827492
293,90th%_vmt,1238,1774637
293,95th%_vmt,2245,1716614
293,99th%_vmt,3782,1559700
293,avg_total_vmt,33,1827525
294,90th%_vmt,1261,1775898
294,95th%_vmt,2213,1718827
294,99th%_vmt,3503,1563203
294,avg_total_vmt,38,1827563
295,90th%_vmt,1207,1777105
295,95th%_vmt,2105,1720932
295,99th%_vmt,3540,1566743
295,avg_total_vmt,36,1827599
296,90th%_vmt,1175,1778280
296,95th%_vmt,2179,1723111
296,99th%_vmt,3568,1570311
296,avg_total_vmt,36,1827635
297,90th%_vmt,1162,1779442
297,95th%_vmt,2032,1725143
297,99th%_vmt,3508,1573819
297,avg_total_vmt,28,1827663
298,90th%_vmt,1114,1780556
298,95th%_vmt,2043,1727186
298,99th%_vmt,3468,1577287
298,avg_total_vmt,25,1827688
299,90th%_vmt,1076,1781632
299,95th%_vmt,1946,1729132
299,99th%_vmt,3429,1580716
299,avg_total_vmt,31,1827719
300,90th%_vmt,1135,1782767
300,95th%_vmt,1973,1731105
300,99th%_vmt,3413,1584129
300,avg_total_vmt,28,1827747
301,90th%_vmt,1149,1783916
301,95th%_vmt,1952,1733057
301,99th%_vmt,3352,1587481
301,avg_total_vmt,25,1827772
302,90th%_vmt,1015,1784931
302,95th%_vmt,1916,1734973
302,99th%_vmt,3319,1590800
302,avg_total_vmt,23,1827795
303,90th%_vmt,1037,1785968
303,95th%_vmt,1833,1736806
303,99th%_vmt,3274,1594074
303,avg_total_vmt,23,1827818
304,90th%_vmt,1037,1787005
304,95th%_vmt,1775,1738581
304,99th%_vmt,3223,1597297
304,avg_total_vmt,25,1827843
305,90th%_vmt,1035,1788040
305,95th%_vmt,1742,1740323
305,99th%_vmt,3094,1600391
305,avg_total_vmt,20,1827863
306,90th%_vmt,920,1788960
306,95th%_vmt,1763,1742086
306,99th%_vmt,3164,1603555
306,avg_total_vmt,26,1827889
307,90th%_vmt,924,1789884
307,95th%_vmt,1685,1743771
307,99th%_vmt,3216,1606771
307,avg_total_vmt,24,1827913
308,90th%_vmt,929,1790813
308,95th%_vmt,1779,1745550
308,99th%_vmt,3125,1609896
308,avg_total_vmt,16,1827929
309,90th%_vmt,929,1791742
309,95th%_vmt,1711,1747261
309,99th%_vmt,3108,1613004
309,avg_total_vmt,20,1827949
310,90th%_vmt,905,1792647
310,95th%_vmt,1642,1748903
310,99th%_vmt,2970,1615974
310,avg_total_vmt,17,1827966
311,90th%_vmt,820,1793467
311,95th%_vmt,1548,1750451
311,99th%_vmt,2960,1618934
311,avg_total_vmt,12,1827978
312,90th%_vmt,858,1794325
312,95th%_vmt,1567,1752018
312,99th%_vmt,2930,1621864
312,avg_total_vmt,20,1827998
313,90th%_vmt,839,1795164
313,95th%_vmt,1589,1753607
313,99th%_vmt,2958,1624822
313,avg_total_vmt,18,1828016
314,90th%_vmt,824,1795988
314,95th%_vmt,1523,1755130
314,99th%_vmt,3018,1627840
314,avg_total_vmt,25,1828041
315,90th%_vmt,787,1796775
315,95th%_vmt,1433,1756563
315,99th%_vmt,2884,1630724
315,avg_total_vmt,22,1828063
316,90th%_vmt,748,1797523
316,95th%_vmt,1464,1758027
316,99th%_vmt,2771,1633495
316,avg_total_vmt,21,1828084
317,90th%_vmt,782,1798305
317,95th%_vmt,1416,1759443
317,99th%_vmt,2717,1636212
317,avg_total_vmt,18,1828102
318,90th%_vmt,764,1799069
318,95th%_vmt,1393,1760836
318,99th%_vmt,2824,1639036
318,avg_total_vmt,17,1828119
319,90th%_vmt,748,1799817
319,95th%_vmt,1439,1762275
319,99th%_vmt,2648,1641684
319,avg_total_vmt,17,1828136
320,90th%_vmt,680,1800497
320,95th%_vmt,1329,1763604
320,99th%_vmt,2659,1644343
320,avg_total_vmt,12,1828148
321,90th%_vmt,706,1801203
321,95th%_vmt,1338,1764942
321,99th%_vmt,2657,1647000
321,avg_total_vmt,17,1828165
322,90th%_vmt,711,1801914
322,95th%_vmt,1304,1766246
322,99th%_vmt,2726,1649726
322,avg_total_vmt,15,1828180
323,90th%_vmt,697,1802611
323,95th%_vmt,1284,1767530
323,99th%_vmt,2690,1652416
323,avg_total_vmt,12,1828192
324,90th%_vmt,634,1803245
324,95th%_vmt,1320,1768850
324,99th%_vmt,2620,1655036
324,avg_total_vmt,12,1828204
325,90th%_vmt,703,1803948
325,95th%_vmt,1215,1770065
325,99th%_vmt,2509,1657545
325,avg_total_vmt,9,1828213
326,90th%_vmt,618,1804566
326,95th%_vmt,1253,1771318
326,99th%_vmt,2465,1660010
326,avg_total_vmt,10,1828223
327,90th%_vmt,585,1805151
327,95th%_vmt,1150,1772468
327,99th%_vmt,2453,1662463
327,avg_total_vmt,5,1828228
328,90th%_vmt,579,1805730
328,95th%_vmt,1219,1773687
328,99th%_vmt,2446,1664909
328,avg_total_vmt,9,1828237
329,90th%_vmt,559,1806289
329,95th%_vmt,1162,1774849
329,99th%_vmt,2423,1667332
329,avg_total_vmt,13,1828250
330,90th%_vmt,573,1806862
330,95th%_vmt,1104,1775953
330,99th%_vmt,2358,1669690
330,avg_total_vmt,9,1828259
331,90th%_vmt,590,1807452
331,95th%_vmt,1088,1777041
331,99th%_vmt,2426,1672116
331,avg_total_vmt,13,1828272
332,90th%_vmt,520,1807972
332,95th%_vmt,1110,1778151
332,99th%_vmt,2423,1674539
332,avg_total_vmt,11,1828283
333,90th%_vmt,588,1808560
333,95th%_vmt,1098,1779249
333,99th%_vmt,2326,1676865
333,avg_total_vmt,13,1828296
334,90th%_vmt,486,1809046
334,95th%_vmt,1024,1780273
334,99th%_vmt,2288,1679153
334,avg_total_vmt,14,1828310
335,90th%_vmt,476,1809522
335,95th%_vmt,1033,1781306
335,99th%_vmt,2309,1681462
335,avg_total_vmt,10,1828320
336,90th%_vmt,490,1810012
336,95th%_vmt,1035,1782341
336,99th%_vmt,2232,1683694
336,avg_total_vmt,3,1828323
337,90th%_vmt,467,1810479
337,95th%_vmt,998,1783339
337,99th%_vmt,2263,1685957
337,avg_total_vmt,8,1828331
338,90th%_vmt,473,1810952
338,95th%_vmt,988,1784327
338,99th%_vmt,2188,1688145
338,avg_total_vmt,6,1828337
339,90th%_vmt,482,1811434
339,95th%_vmt,948,1785275
339,99th%_vmt,2202,1690347
339,avg_total_vmt,5,1828342
340,90th%_vmt,441,1811875
340,95th%_vmt,938,1786213
340,99th%_vmt,2139,1692486
340,avg_total_vmt,4,1828346
341,90th%_vmt,463,1812338
341,95th%_vmt,948,1787161
341,99th%_vmt,2138,1694624
341,avg_total_vmt,7,1828353
342,90th%_vmt,439,1812777
342,95th%_vmt,922,1788083
342,99th%_vmt,2044,1696668
342,avg_total_vmt,10,1828363
343,90th%_vmt,388,1813165
343,95th%_vmt,886,1788969
343,99th%_vmt,1991,1698659
343,avg_total_vmt,4,1828367
344,90th%_vmt,432,1813597
344,95th%_vmt,907,1789876
344,99th%_vmt,1992,1700651
344,avg_total_vmt,7,1828374
345,90th%_vmt,361,1813958
345,95th%_vmt,839,1790715
345,99th%_vmt,1961,1702612
345,avg_total_vmt,2,1828376
346,90th%_vmt,391,1814349
346,95th%_vmt,881,1791596
346,99th%_vmt,1950,1704562
346,avg_total_vmt,3,1828379
347,90th%_vmt,336,1814685
347,95th%_vmt,845,1792441
347,99th%_vmt,1904,1706466
347,avg_total_vmt,7,1828386
348,90th%_vmt,351,1815036
348,95th%_vmt,803,1793244
348,99th%_vmt,1912,1708378
348,avg_total_vmt,10,1828396
349,90th%_vmt,355,1815391
349,95th%_vmt,824,1794068
349,99th%_vmt,1932,1710310
349,avg_total_vmt,7,1828403
350,90th%_vmt,322,1815713
350,95th%_vmt,807,1794875
350,99th%_vmt,1901,1712211
350,avg_total_vmt,5,1828408
351,90th%_vmt,387,1816100
351,95th%_vmt,746,1795621
351,99th%_vmt,1821,1714032
351,avg_total_vmt,4,1828412
352,90th%_vmt,300,1816400
352,95th%_vmt,784,1796405
352,99th%_vmt,1775,1715807
352,avg_total_vmt,3,1828415
353,90th%_vmt,325,1816725
353,95th%_vmt,723,1797128
353,99th%_vmt,1686,1717493
353,avg_total_vmt,6,1828421
354,90th%_vmt,313,1817038
354,95th%_vmt,733,1797861
354,99th%_vmt,1757,1719250
354,avg_total_vmt,4,1828425
355,90th%_vmt,295,1817333
355,95th%_vmt,678,1798539
355,99th%_vmt,1711,1720961
355,avg_total_vmt,3,1828428
356,90th%_vmt,338,1817671
356,95th%_vmt,707,1799246
356,99th%_vmt,1691,1722652
356,avg_total_vmt,5,1828433
357,90th%_vmt,315,1817986
357,95th%_vmt,693,1799939
357,99th%_vmt,1718,1724370
357,avg_total_vmt,3,1828436
358,90th%_vmt,293,1818279
358,95th%_vmt,695,1800634
358,99th%_vmt,1649,1726019
358,avg_total_vmt,5,1828441
359,90th%_vmt,268,1818547
359,95th%_vmt,637,1801271
359,99th%_vmt,1616,1727635
359,avg_total_vmt,1,1828442
360,90th%_vmt,280,1818827
360,95th%_vmt,589,1801860
360,99th%_vmt,1608,1729243
360,avg_total_vmt,6,1828448
361,90th%_vmt,264,1819091
361,95th%_vmt,619,1802479
361,99th%_vmt,1515,1730758
361,avg_total_vmt,5,1828453
362,90th%_vmt,267,1819358
362,95th%_vmt,624,1803103
362,99th%_vmt,1571,1732329
362,avg_total_vmt,6,1828459
363,90th%_vmt,243,1819601
363,95th%_vmt,615,1803718
363,99th%_vmt,1535,1733864
363,avg_total_vmt,2,1828461
364,90th%_vmt,253,1819854
364,95th%_vmt,555,1804273
364,99th%_vmt,1543,1735407
364,avg_total_vmt,2,1828463
365,90th%_vmt,223,1820077
365,95th%_vmt,552,1804825
365,99th%_vmt,1494,1736901
365,avg_total_vmt,3,1828466
366,90th%_vmt,234,1820311
366,95th%_vmt,554,1805379
366,99th%_vmt,1460,1738361
366,avg_total_vmt,4,1828470
367,90th%_vmt,204,1820515
367,95th%_vmt,571,1805950
367,99th%_vmt,1456,1739817
367,avg_total_vmt,4,1828474
368,90th%_vmt,236,1820751
368,95th%_vmt,540,1806490
368,99th%_vmt,1441,1741258
368,avg_total_vmt,4,1828478
369,90th%_vmt,215,1820966
369,95th%_vmt,535,1807025
369,99th%_vmt,1424,1742682
369,avg_total_vmt,3,1828481
370,90th%_vmt,218,1821184
370,95th%_vmt,509,1807534
370,99th%_vmt,1420,1744102
370,avg_total_vmt,5,1828486
371,90th%_vmt,218,1821402
371,95th%_vmt,521,1808055
371,99th%_vmt,1422,1745524
371,avg_total_vmt,2,1828488
372,90th%_vmt,195,1821597
372,95th%_vmt,491,1808546
372,99th%_vmt,1401,1746925
372,avg_total_vmt,3,1828491
373,90th%_vmt,194,1821791
373,95th%_vmt,501,1809047
373,99th%_vmt,1337,1748262
373,avg_total_vmt,3,1828494
374,90th%_vmt,183,1821974
374,95th%_vmt,455,1809502
374,99th%_vmt,1321,1749583
374,avg_total_vmt,3,1828497
375,90th%_vmt,192,1822166
375,95th%_vmt,453,1809955
375,99th%_vmt,1275,1750858
375,avg_total_vmt,1,1828498
376,90th%_vmt,191,1822357
376,95th%_vmt,428,1810383
376,99th%_vmt,1327,1752185
376,avg_total_vmt,6,1828504
377,90th%_vmt,184,1822541
377,95th%_vmt,422,1810805
377,99th%_vmt,1252,1753437
377,avg_total_vmt,4,1828508
378,90th%_vmt,180,1822721
378,95th%_vmt,410,1811215
378,99th%_vmt,1233,1754670
378,avg_total_vmt,5,1828513
379,90th%_vmt,163,1822884
379,95th%_vmt,448,1811663
379,99th%_vmt,1307,1755977
379,avg_total_vmt,3,1828516
380,90th%_vmt,152,1823036
380,95th%_vmt,340,1812003
380,99th%_vmt,1257,1757234
380,avg_total_vmt,2,1828518
381,90th%_vmt,161,1823197
381,95th%_vmt,399,1812402
381,99th%_vmt,1233,1758467
381,avg_total_vmt,4,1828522
382,90th%_vmt,143,1823340
382,95th%_vmt,368,1812770
382,99th%_vmt,1127,1759594
382,avg_total_vmt,1,1828523
383,90th%_vmt,104,1823444
383,95th%_vmt,358,1813128
383,99th%_vmt,1193,1760787
383,avg_total_vmt,1,1828524
384,90th%_vmt,137,1823581
384,95th%_vmt,355,1813483
384,99th%_vmt,1165,1761952
384,avg_total_vmt,4,1828528
385,90th%_vmt,130,1823711
385,95th%_vmt,365,1813848
385,99th%_vmt,1102,1763054
385,avg_total_vmt,1,1828529
386,90th%_vmt,123,1823834
386,95th%_vmt,364,1814212
386,99th%_vmt,1083,1764137
386,avg_total_vmt,4,1828533
387,90th%_vmt,124,1823958
387,95th%_vmt,326,1814538
387,99th%_vmt,1148,1765285
388,90th%_vmt,132,1824090
388,95th%_vmt,348,1814886
388,99th%_vmt,1107,1766392
388,avg_total_vmt,2,1828535
389,90th%_vmt,117,1824207
389,95th%_vmt,343,1815229
389,99th%_vmt,1041,1767433
389,avg_total_vmt,5,1828540
390,90th%_vmt,112,1824319
390,95th%_vmt,341,1815570
390,99th%_vmt,997,1768430
390,avg_total_vmt,3,1828543
391,90th%_vmt,115,1824434
391,95th%_vmt,332,1815902
391,99th%_vmt,1074,1769504
391,avg_total_vmt,1,1828544
392,90th%_vmt,120,1824554
392,95th%_vmt,320,1816222
392,99th%_vmt,1027,1770531
392,avg_total_vmt,5,1828549
393,90th%_vmt,108,1824662
393,95th%_vmt,321,1816543
393,99th%_vmt,1061,1771592
394,90th%_vmt,114,1824776
394,95th%_vmt,267,1816810
394,99th%_vmt,971,1772563
394,avg_total_vmt,2,1828551
395,90th%_vmt,123,1824899
395,95th%_vmt,302,1817112
395,99th%_vmt,1037,1773600
395,avg_total_vmt,5,1828556
396,90th%_vmt,93,1824992
396,95th%_vmt,291,1817403
396,99th%_vmt,904,1774504
396,avg_total_vmt,1,1828557
397,90th%_vmt,103,1825095
397,95th%_vmt,288,1817691
397,99th%_vmt,944,1775448
397,avg_total_vmt,1,1828558
398,90th%_vmt,91,1825186
398,95th%_vmt,262,1817953
398,99th%_vmt,929,1776377
398,avg_total_vmt,2,1828560
399,90th%_vmt,91,1825277
399,95th%_vmt,260,1818213
399,99th%_vmt,895,1777272
399,avg_total_vmt,3,1828563
400,90th%_vmt,111,1825388
400,95th%_vmt,275,1818488
400,99th%_vmt,892,1778164
400,avg_total_vmt,2,1828565
401,90th%_vmt,83,1825471
401,95th%_vmt,240,1818728
401,99th%_vmt,915,1779079
402,90th%_vmt,85,1825556
402,95th%_vmt,254,1818982
402,99th%_vmt,878,1779957
402,avg_total_vmt,3,1828568
403,90th%_vmt,78,1825634
403,95th%_vmt,213,1819195
403,99th%_vmt,884,1780841
403,avg_total_vmt,1,1828569
404,90th%_vmt,95,1825729
404,95th%_vmt,236,1819431
404,99th%_vmt,851,1781692
405,90th%_vmt,80,1825809
405,95th%_vmt,215,1819646
405,99th%_vmt,852,1782544
405,avg_total_vmt,2,1828571
406,90th%_vmt,68,1825877
406,95th%_vmt,230,1819876
406,99th%_vmt,797,1783341
406,avg_total_vmt,4,1828575
407,90th%_vmt,85,1825962
407,95th%_vmt,222,1820098
407,99th%_vmt,800,1784141
407,avg_total_vmt,2,1828577
408,90th%_vmt,71,1826033
408,95th%_vmt,204,1820302
408,99th%_vmt,762,1784903
408,avg_total_vmt,1,1828578
409,90th%_vmt,57,1826090
409,95th%_vmt,182,1820484
409,99th%_vmt,820,1785723
410,90th%_vmt,55,1826145
410,95th%_vmt,207,1820691
410,99th%_vmt,759,1786482
410,avg_total_vmt,4,1828582
411,90th%_vmt,70,1826215
411,95th%_vmt,208,1820899
411,99th%_vmt,768,1787250
411,avg_total_vmt,1,1828583
412,90th%_vmt,65,1826280
412,95th%_vmt,193,1821092
412,99th%_vmt,742,1787992
412,avg_total_vmt,2,1828585
413,90th%_vmt,66,1826346
413,95th%_vmt,193,1821285
413,99th%_vmt,713,1788705
413,avg_total_vmt,1,1828586
414,90th%_vmt,49,1826395
414,95th%_vmt,179,1821464
414,99th%_vmt,734,1789439
414,avg_total_vmt,2,1828588
415,90th%_vmt,73,1826468
415,95th%_vmt,193,1821657
415,99th%_vmt,658,1790097
415,avg_total_vmt,2,1828590
416,90th%_vmt,53,1826521
416,95th%_vmt,171,1821828
416,99th%_vmt,673,1790770
416,avg_total_vmt,2,1828592
417,90th%_vmt,58,1826579
417,95th%_vmt,193,1822021
417,99th%_vmt,663,1791433
418,90th%_vmt,52,1826631
418,95th%_vmt,132,1822153
418,99th%_vmt,693,1792126
419,90th%_vmt,44,1826675
419,95th%_vmt,156,1822309
419,99th%_vmt,657,1792783
419,avg_total_vmt,1,1828593
420,90th%_vmt,47,1826722
420,95th%_vmt,179,1822488
420,99th%_vmt,670,1793453
421,90th%_vmt,58,1826780
421,95th%_vmt,155,1822643
421,99th%_vmt,611,1794064
421,avg_total_vmt,1,1828594
422,90th%_vmt,48,1826828
422,95th%_vmt,142,1822785
422,99th%_vmt,673,1794737
422,avg_total_vmt,4,1828598
423,90th%_vmt,50,1826878
423,95th%_vmt,112,1822897
423,99th%_vmt,651,1795388
423,avg_total_vmt,2,1828600
424,90th%_vmt,42,1826920
424,95th%_vmt,137,1823034
424,99th%_vmt,614,1796002
424,avg_total_vmt,1,1828601
425,90th%_vmt,50,1826970
425,95th%_vmt,157,1823191
425,99th%_vmt,655,1796657
425,avg_total_vmt,2,1828603
426,90th%_vmt,40,1827010
426,95th%_vmt,135,1823326
426,99th%_vmt,589,1797246
426,avg_total_vmt,2,1828605
427,90th%_vmt,40,1827050
427,95th%_vmt,119,1823445
427,99th%_vmt,575,1797821
427,avg_total_vmt,2,1828607
428,90th%_vmt,55,1827105
428,95th%_vmt,134,1823579
428,99th%_vmt,574,1798395
428,avg_total_vmt,1,1828608
429,90th%_vmt,39,1827144
429,95th%_vmt,144,1823723
429,99th%_vmt,613,1799008
429,avg_total_vmt,1,1828609
430,90th%_vmt,36,1827180
430,95th%_vmt,116,1823839
430,99th%_vmt,573,1799581
430,avg_total_vmt,2,1828611
431,90th%_vmt,46,1827226
431,95th%_vmt,111,1823950
431,99th%_vmt,541,1800122
432,90th%_vmt,48,1827274
432,95th%_vmt,123,1824073
432,99th%_vmt,544,1800666
432,avg_total_vmt,3,1828614
433,90th%_vmt,42,1827316
433,95th%_vmt,131,1824204
433,99th%_vmt,462,1801128
433,avg_total_vmt,1,1828615
434,90th%_vmt,22,1827338
434,95th%_vmt,112,1824316
434,99th%_vmt,534,1801662
435,90th%_vmt,40,1827378
435,95th%_vmt,98,1824414
435,99th%_vmt,518,1802180
435,avg_total_vmt,1,1828616
436,90th%_vmt,22,1827400
436,95th%_vmt,116,1824530
436,99th%_vmt,472,1802652
437,90th%_vmt,26,1827426
437,95th%_vmt,106,1824636
437,99th%_vmt,521,1803173
437,avg_total_vmt,2,1828618
438,90th%_vmt,26,1827452
438,95th%_vmt,84,1824720
438,99th%_vmt,494,1803667
438,avg_total_vmt,1,1828619
439,90th%_vmt,25,1827477
439,95th%_vmt,92,1824812
439,99th%_vmt,473,1804140
439,avg_total_vmt,2,1828621
440,90th%_vmt,26,1827503
440,95th%_vmt,97,1824909
440,99th%_vmt,450,1804590
440,avg_total_vmt,1,1828622
441,90th%_vmt,27,1827530
441,95th%_vmt,105,1825014
441,99th%_vmt,457,1805047
441,avg_total_vmt,1,1828623
442,90th%_vmt,18,1827548
442,95th%_vmt,73,1825087
442,99th%_vmt,454,1805501
442,avg_total_vmt,1,1828624
443,90th%_vmt,22,1827570
443,95th%_vmt,89,1825176
443,99th%_vmt,463,1805964
444,90th%_vmt,25,1827595
444,95th%_vmt,93,1825269
444,99th%_vmt,409,1806373
444,avg_total_vmt,1,1828625
445,90th%_vmt,31,1827626
445,95th%_vmt,69,1825338
445,99th%_vmt,430,1806803
445,avg_total_vmt,1,1828626
446,90th%_vmt,31,1827657
446,95th%_vmt,91,1825429
446,99th%_vmt,457,1807260
446,avg_total_vmt,3,1828629
447,90th%_vmt,31,1827688
447,95th%_vmt,79,1825508
447,99th%_vmt,405,1807665
448,90th%_vmt,24,1827712
448,95th%_vmt,70,1825578
448,99th%_vmt,409,1808074
449,90th%_vmt,18,1827730
449,95th%_vmt,83,1825661
449,99th%_vmt,400,1808474
450,90th%_vmt,28,1827758
450,95th%_vmt,68,1825729
450,99th%_vmt,372,1808846
451,90th%_vmt,20,1827778
451,95th%_vmt,74,1825803
451,99th%_vmt,383,1809229
451,avg_total_vmt,2,1828631
452,90th%_vmt,23,1827801
452,95th%_vmt,80,1825883
452,99th%_vmt,372,1809601
453,90th%_vmt,13,1827814
453,95th%_vmt,56,1825939
453,99th%_vmt,334,1809935
454,90th%_vmt,19,1827833
454,95th%_vmt,78,1826017
454,99th%_vmt,348,1810283
454,avg_total_vmt,1,1828632
455,90th%_vmt,18,1827851
