vmt,type,num_drivers,cum_frequency
80,95th%_vmt,5639,187111
80,99th%_vmt,5165,182552
80,avg_total_vmt,24311,615476
81,90th%_vmt,7367,212405
81,95th%_vmt,5736,192847
81,99th%_vmt,5263,187815
81,avg_total_vmt,24427,639903
82,90th%_vmt,7658,220063
82,95th%_vmt,5948,198795
82,99th%_vmt,5399,193214
82,avg_total_vmt,24553,664456
83,90th%_vmt,7725,227788
83,95th%_vmt,5910,204705
83,99th%_vmt,5360,198574
83,avg_total_vmt,24270,688726
84,90th%_vmt,7914,235702
84,95th%_vmt,5970,210675
84,99th%_vmt,5366,203940
84,avg_total_vmt,24097,712823
85,90th%_vmt,8056,243758
85,95th%_vmt,6212,216887
85,99th%_vmt,5466,209406
85,avg_total_vmt,24104,736927
86,90th%_vmt,8386,252144
86,95th%_vmt,6304,223191
86,99th%_vmt,5557,214963
86,avg_total_vmt,23920,760847
87,90th%_vmt,8451,260595
87,95th%_vmt,6295,229486
87,99th%_vmt,5496,220459
87,avg_total_vmt,23866,784713
88,90th%_vmt,8825,269420
88,95th%_vmt,6578,236064
88,99th%_vmt,5724,226183
88,avg_total_vmt,23863,808576
89,90th%_vmt,8912,278332
89,95th%_vmt,6604,242668
89,99th%_vmt,5723,231906
89,avg_total_vmt,23695,832271
90,90th%_vmt,9053,287385
90,95th%_vmt,6581,249249
90,99th%_vmt,5642,237548
90,avg_total_vmt,23463,855734
91,90th%_vmt,9223,296608
91,95th%_vmt,6864,256113
91,99th%_vmt,5746,243294
91,avg_total_vmt,23036,878770
92,90th%_vmt,9273,305881
92,95th%_vmt,6713,262826
92,99th%_vmt,5618,248912
92,avg_total_vmt,22893,901663
93,90th%_vmt,9508,315389
93,95th%_vmt,6996,269822
93,99th%_vmt,5815,254727
93,avg_total_vmt,22526,924189
94,90th%_vmt,9680,325069
94,95th%_vmt,7081,276903
94,99th%_vmt,5891,260618
94,avg_total_vmt,22266,946455
95,90th%_vmt,9819,334888
95,95th%_vmt,7103,284006
95,99th%_vmt,5927,266545
95,avg_total_vmt,21708,968163
96,90th%_vmt,10000,344888
96,95th%_vmt,7339,291345
96,99th%_vmt,5884,272429
96,avg_total_vmt,21460,989623
97,90th%_vmt,10222,355110
97,95th%_vmt,7575,298920
97,99th%_vmt,6043,278472
97,avg_total_vmt,21307,1010930
98,90th%_vmt,10446,365556
98,95th%_vmt,7570,306490
98,99th%_vmt,5970,284442
98,avg_total_vmt,21000,1031930
99,90th%_vmt,10451,376007
99,95th%_vmt,7501,313991
99,99th%_vmt,5985,290427
99,avg_total_vmt,20697,1052627
100,90th%_vmt,10684,386691
100,95th%_vmt,7685,321676
100,99th%_vmt,6130,296557
100,avg_total_vmt,20096,1072723
101,90th%_vmt,10715,397406
101,95th%_vmt,7850,329526
101,99th%_vmt,6089,302646
101,avg_total_vmt,19764,1092487
102,90th%_vmt,10967,408373
102,95th%_vmt,7858,337384
102,99th%_vmt,6050,308696
102,avg_total_vmt,19407,1111894
103,90th%_vmt,10920,419293
103,95th%_vmt,7850,345234
103,99th%_vmt,6053,314749
103,avg_total_vmt,19226,1131120
104,90th%_vmt,11252,430545
104,95th%_vmt,8239,353473
104,99th%_vmt,6238,320987
104,avg_total_vmt,18592,1149712
105,90th%_vmt,11374,441919
105,95th%_vmt,8197,361670
105,99th%_vmt,6285,327272
105,avg_total_vmt,18111,1167823
106,90th%_vmt,11554,453473
106,95th%_vmt,8354,370024
106,99th%_vmt,6406,333678
106,avg_total_vmt,17896,1185719
107,90th%_vmt,11661,465134
107,95th%_vmt,8639,378663
107,99th%_vmt,6483,340161
107,avg_total_vmt,17601,1203320
108,90th%_vmt,11637,476771
108,95th%_vmt,8588,387251
108,99th%_vmt,6448,346609
108,avg_total_vmt,17205,1220525
109,90th%_vmt,11861,488632
109,95th%_vmt,8720,395971
109,99th%_vmt,6559,353168
109,avg_total_vmt,16727,1237252
110,90th%_vmt,12003,500635
110,95th%_vmt,8812,404783
110,99th%_vmt,6559,359727
110,avg_total_vmt,16565,1253817
111,90th%_vmt,12000,512635
111,95th%_vmt,9021,413804
111,99th%_vmt,6610,366337
111,avg_total_vmt,16038,1269855
112,90th%_vmt,12190,524825
112,95th%_vmt,8975,422779
112,99th%_vmt,6594,372931
112,avg_total_vmt,15797,1285652
113,90th%_vmt,12226,537051
113,95th%_vmt,9010,431789
113,99th%_vmt,6679,379610
113,avg_total_vmt,15491,1301143
114,90th%_vmt,12316,549367
114,95th%_vmt,9210,440999
114,99th%_vmt,6680,386290
114,avg_total_vmt,14933,1316076
115,90th%_vmt,12318,561685
115,95th%_vmt,9308,450307
115,99th%_vmt,6739,393029
115,avg_total_vmt,14603,1330679
116,90th%_vmt,12444,574129
116,95th%_vmt,9411,459718
116,99th%_vmt,6728,399757
116,avg_total_vmt,14313,1344992
117,90th%_vmt,12458,586587
117,95th%_vmt,9398,469116
117,99th%_vmt,6772,406529
117,avg_total_vmt,13908,1358900
118,90th%_vmt,12258,598845
118,95th%_vmt,9426,478542
118,99th%_vmt,6706,413235
118,avg_total_vmt,13736,1372636
119,90th%_vmt,12567,611412
119,95th%_vmt,9582,488124
119,99th%_vmt,6918,420153
119,avg_total_vmt,13222,1385858
120,90th%_vmt,12602,624014
120,95th%_vmt,9625,497749
120,99th%_vmt,6760,426913
120,avg_total_vmt,12722,1398580
121,90th%_vmt,12350,636364
121,95th%_vmt,9577,507326
121,99th%_vmt,6850,433763
121,avg_total_vmt,12516,1411096
122,90th%_vmt,12727,649091
122,95th%_vmt,9794,517120
122,99th%_vmt,6904,440667
122,avg_total_vmt,12383,1423479
123,90th%_vmt,12654,661745
123,95th%_vmt,9893,527013
123,99th%_vmt,7076,447743
123,avg_total_vmt,11982,1435461
124,90th%_vmt,12712,674457
124,95th%_vmt,9811,536824
124,99th%_vmt,6960,454703
124,avg_total_vmt,11627,1447088
125,90th%_vmt,12957,687414
125,95th%_vmt,10248,547072
125,99th%_vmt,7239,461942
125,avg_total_vmt,11166,1458254
126,90th%_vmt,12718,700132
126,95th%_vmt,10084,557156
126,99th%_vmt,7104,469046
126,avg_total_vmt,10935,1469189
127,90th%_vmt,12852,712984
127,95th%_vmt,10278,567434
127,99th%_vmt,7126,476172
127,avg_total_vmt,10689,1479878
128,90th%_vmt,12788,725772
128,95th%_vmt,10232,577666
128,99th%_vmt,7235,483407
128,avg_total_vmt,10504,1490382
129,90th%_vmt,12807,738579
129,95th%_vmt,10346,588012
129,99th%_vmt,7317,490724
129,avg_total_vmt,10181,1500563
130,90th%_vmt,12630,751209
130,95th%_vmt,10116,598128
130,99th%_vmt,7163,497887
130,avg_total_vmt,9726,1510289
131,90th%_vmt,12779,763988
131,95th%_vmt,10330,608458
131,99th%_vmt,7288,505175
131,avg_total_vmt,9578,1519867
132,90th%_vmt,12787,776775
132,95th%_vmt,10286,618744
132,99th%_vmt,7204,512379
132,avg_total_vmt,9358,1529225
133,90th%_vmt,12778,789553
133,95th%_vmt,10543,629287
133,99th%_vmt,7459,519838
133,avg_total_vmt,8906,1538131
134,90th%_vmt,12566,802119
134,95th%_vmt,10543,639830
134,99th%_vmt,7366,527204
134,avg_total_vmt,8864,1546995
135,90th%_vmt,12628,814747
135,95th%_vmt,10553,650383
135,99th%_vmt,7364,534568
135,avg_total_vmt,8736,1555731
136,90th%_vmt,12795,827542
136,95th%_vmt,10532,660915
136,99th%_vmt,7541,542109
136,avg_total_vmt,8463,1564194
137,90th%_vmt,12587,840129
137,95th%_vmt,10755,671670
137,99th%_vmt,7586,549695
137,avg_total_vmt,8107,1572301
138,90th%_vmt,12497,852626
138,95th%_vmt,10588,682258
138,99th%_vmt,7586,557281
138,avg_total_vmt,7847,1580148
139,90th%_vmt,12337,864963
139,95th%_vmt,10647,692905
139,99th%_vmt,7563,564844
139,avg_total_vmt,7803,1587951
140,90th%_vmt,12461,877424
140,95th%_vmt,10627,703532
140,99th%_vmt,7567,572411
140,avg_total_vmt,7386,1595337
141,90th%_vmt,12347,889771
141,95th%_vmt,10651,714183
141,99th%_vmt,7446,579857
141,avg_total_vmt,7250,1602587
142,90th%_vmt,12187,901958
142,95th%_vmt,10829,725012
142,99th%_vmt,7625,587482
142,avg_total_vmt,6878,1609465
143,90th%_vmt,12045,914003
143,95th%_vmt,10621,735633
143,99th%_vmt,7670,595152
143,avg_total_vmt,6948,1616413
144,90th%_vmt,12180,926183
144,95th%_vmt,10489,746122
144,99th%_vmt,7670,602822
144,avg_total_vmt,6548,1622961
145,90th%_vmt,12040,938223
145,95th%_vmt,10617,756739
145,99th%_vmt,7786,610608
145,avg_total_vmt,6363,1629324
146,90th%_vmt,11859,950082
146,95th%_vmt,10743,767482
146,99th%_vmt,7645,618253
146,avg_total_vmt,6177,1635501
147,90th%_vmt,11925,962007
147,95th%_vmt,10599,778081
147,99th%_vmt,7724,625977
147,avg_total_vmt,5965,1641466
148,90th%_vmt,11864,973871
148,95th%_vmt,10521,788602
148,99th%_vmt,7776,633753
148,avg_total_vmt,5755,1647221
149,90th%_vmt,11833,985704
149,95th%_vmt,10729,799331
149,99th%_vmt,7901,641654
149,avg_total_vmt,5663,1652884
150,90th%_vmt,11594,997298
150,95th%_vmt,10371,809702
150,99th%_vmt,7796,649450
150,avg_total_vmt,5613,1658497
151,90th%_vmt,11702,1009000
151,95th%_vmt,10799,820501
151,99th%_vmt,7881,657331
151,avg_total_vmt,5406,1663903
152,90th%_vmt,11631,1020631
152,95th%_vmt,10492,830993
152,99th%_vmt,7826,665157
152,avg_total_vmt,5163,1669066
153,90th%_vmt,11246,1031877
153,95th%_vmt,10650,841643
153,99th%_vmt,7876,673033
153,avg_total_vmt,4980,1674046
154,90th%_vmt,11385,1043262
154,95th%_vmt,10633,852276
154,99th%_vmt,7905,680938
154,avg_total_vmt,4960,1679006
155,90th%_vmt,11253,1054515
155,95th%_vmt,10531,862807
155,99th%_vmt,7861,688799
155,avg_total_vmt,4612,1683618
156,90th%_vmt,11311,1065826
156,95th%_vmt,10590,873397
156,99th%_vmt,7909,696708
156,avg_total_vmt,4588,1688206
157,90th%_vmt,11223,1077049
157,95th%_vmt,10517,883914
157,99th%_vmt,8039,704747
157,avg_total_vmt,4472,1692678
158,90th%_vmt,10931,1087980
158,95th%_vmt,10337,894251
158,99th%_vmt,7966,712713
158,avg_total_vmt,4266,1696944
159,90th%_vmt,10984,1098964
159,95th%_vmt,10585,904836
159,99th%_vmt,8123,720836
159,avg_total_vmt,4221,1701165
160,90th%_vmt,10707,1109671
160,95th%_vmt,10239,915075
160,99th%_vmt,7752,728588
160,avg_total_vmt,4187,1705352
161,90th%_vmt,10935,1120606
161,95th%_vmt,10423,925498
161,99th%_vmt,8043,736631
161,avg_total_vmt,3943,1709295
162,90th%_vmt,10678,1131284
162,95th%_vmt,10314,935812
162,99th%_vmt,7951,744582
162,avg_total_vmt,3802,1713097
163,90th%_vmt,10539,1141823
163,95th%_vmt,10103,945915
163,99th%_vmt,7773,752355
163,avg_total_vmt,3587,1716684
164,90th%_vmt,10460,1152283
164,95th%_vmt,10240,956155
164,99th%_vmt,8005,760360
164,avg_total_vmt,3559,1720243
165,90th%_vmt,10380,1162663
165,95th%_vmt,10130,966285
165,99th%_vmt,8047,768407
165,avg_total_vmt,3504,1723747
166,90th%_vmt,10265,1172928
166,95th%_vmt,10126,976411
166,99th%_vmt,7876,776283
166,avg_total_vmt,3414,1727161
167,90th%_vmt,10283,1183211
167,95th%_vmt,10060,986471
167,99th%_vmt,8040,784323
167,avg_total_vmt,3401,1730562
168,90th%_vmt,10198,1193409
168,95th%_vmt,9927,996398
168,99th%_vmt,8017,792340
168,avg_total_vmt,3234,1733796
169,90th%_vmt,9954,1203363
169,95th%_vmt,9941,1006339
169,99th%_vmt,7964,800304
169,avg_total_vmt,3067,1736863
170,90th%_vmt,9788,1213151
170,95th%_vmt,9986,1016325
170,99th%_vmt,8037,808341
170,avg_total_vmt,3069,1739932
171,90th%_vmt,9580,1222731
171,95th%_vmt,9691,1026016
171,99th%_vmt,7937,816278
171,avg_total_vmt,2908,1742840
172,90th%_vmt,9499,1232230
172,95th%_vmt,9707,1035723
172,99th%_vmt,8049,824327
172,avg_total_vmt,2820,1745660
173,90th%_vmt,9550,1241780
173,95th%_vmt,9770,1045493
173,99th%_vmt,7878,832205
173,avg_total_vmt,2699,1748359
174,90th%_vmt,9526,1251306
174,95th%_vmt,10014,1055507
174,99th%_vmt,8115,840320
174,avg_total_vmt,2724,1751083
175,90th%_vmt,9311,1260617
175,95th%_vmt,9651,1065158
175,99th%_vmt,8063,848383
175,avg_total_vmt,2534,1753617
176,90th%_vmt,9076,1269693
176,95th%_vmt,9732,1074890
176,99th%_vmt,7904,856287
176,avg_total_vmt,2484,1756101
177,90th%_vmt,9103,1278796
177,95th%_vmt,9459,1084349
177,99th%_vmt,7961,864248
177,avg_total_vmt,2371,1758472
178,90th%_vmt,8684,1287480
178,95th%_vmt,9407,1093756
178,99th%_vmt,7822,872070
178,avg_total_vmt,2383,1760855
179,90th%_vmt,8844,1296324
179,95th%_vmt,9387,1103143
179,99th%_vmt,7917,879987
179,avg_total_vmt,2232,1763087
180,90th%_vmt,8696,1305020
180,95th%_vmt,9321,1112464
180,99th%_vmt,7807,887794
180,avg_total_vmt,2155,1765242
181,90th%_vmt,8570,1313590
181,95th%_vmt,9314,1121778
181,99th%_vmt,7899,895693
181,avg_total_vmt,2096,1767338
182,90th%_vmt,8644,1322234
182,95th%_vmt,9325,1131103
182,99th%_vmt,8173,903866
182,avg_total_vmt,2123,1769461
183,90th%_vmt,8332,1330566
183,95th%_vmt,9125,1140228
183,99th%_vmt,7989,911855
183,avg_total_vmt,2006,1771467
184,90th%_vmt,8264,1338830
184,95th%_vmt,8766,1148994
184,99th%_vmt,7673,919528
184,avg_total_vmt,1814,1773281
185,90th%_vmt,8244,1347074
185,95th%_vmt,8926,1157920
185,99th%_vmt,7827,927355
185,avg_total_vmt,1750,1775031
186,90th%_vmt,8131,1355205
186,95th%_vmt,9008,1166928
186,99th%_vmt,7711,935066
186,avg_total_vmt,1789,1776820
